DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,ewma_vol,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2013-08-22,0.011090125057797273,1654.75,1636.5,4.632454174215979,6.0,0.0,0.006652078321447616,0.006652078321447616,4.425014599467334e-05,-0.010554187831783487,-0.014723103269209439,1619.3188973898884,1612.5821460707084,0
2013-08-23,0.004070868795616356,1661.5,1654.75,4.886356410374685,6.0,0.0,0.006526059730040809,0.006526059730040809,4.258945560006032e-05,-0.010354246727705388,-0.014444185216013853,1637.7047080921202,1631.020275351252,0
2013-08-26,-0.0043730749024799564,1654.25,1661.5,4.695932835164775,6.0,0.0,0.006417282548728761,0.006417282548728761,4.11815153102187e-05,-0.01018166084583479,-0.014203427726940531,1644.6689996734167,1638.0678074858463,0
2013-08-27,-0.01584191546565794,1628.25,1654.25,5.75243428603926,6.0,0.0,0.007332707653307114,0.007332707653307114,5.3768601528868726e-05,-0.011634074367259993,-0.016229546136652957,1635.1158523457843,1627.6189626725652,1
2013-08-28,0.002453612640231917,1632.25,1628.25,4.735153368583776,6.0,0.0,0.007134682777561659,0.007134682777561659,5.090369833643495e-05,-0.01131988808847783,-0.015791255943034457,1609.922321562789,1602.7398363791958,0
2013-08-29,0.0027531372544578048,1636.75,1632.25,5.963224804380251,6.0,0.0,0.0069501267845098955,0.0069501267845098955,4.830426232076186e-05,-0.011027071539720516,-0.015382776545566796,1614.3499365011085,1607.3335960490458,0
2013-08-30,-0.003365976250196745,1631.25,1636.75,6.073428668891759,6.073428668891759,0.0,0.006788651880051698,0.006788651880051698,4.6085794348529455e-05,-0.010780035029501256,-0.01501409890255795,1619.200539515187,1612.359234489325,0
2013-09-03,0.0047397076728259435,1639.0,1631.25,5.875635700268568,6.0,0.0,0.006683452432466951,0.006683452432466951,4.46685364170484e-05,-0.010603965998057576,-0.01479254386419281,1614.0436693670476,1607.2972605711907,0
2013-09-04,0.008807953678017455,1653.5,1639.0,5.876423987307782,6.0,0.0,0.006829584695402171,0.006829584695402171,4.664322711167157e-05,-0.010835819454492265,-0.015115979682923565,1621.3359668857604,1614.411219249729,0
2013-09-05,-0.0003024346008233536,1653.0,1653.5,5.083641723988595,6.0,0.0,0.00662194242546987,0.00662194242546987,4.3850121486237786e-05,-0.010506374217562689,-0.014656403226433341,1636.2186513541171,1629.442367099769,0
2013-09-06,0.0003024346008233536,1653.5,1653.0,5.3484673348548615,6.0,0.0,0.006420638768715308,0.006420638768715308,4.1224602198330024e-05,-0.010186985824650599,-0.014210856078061532,1636.2463917000953,1629.6755774352728,0
2013-09-09,0.009330391239987357,1669.0,1653.5,6.75328553408032,6.75328553408032,0.0,0.006631327024653828,0.006631327024653828,4.397449810790419e-05,-0.0105985093276347,-0.01457280026988483,1636.0679051131901,1629.5785989937992,0
2013-09-10,0.008056137857048284,1682.5,1669.0,6.987484708666837,6.987484708666837,0.0,0.006725333423090333,0.006725333423090333,4.523010965173593e-05,-0.010767722239136798,-0.014750229938678909,1651.125080374572,1644.5625383897564,0
2013-09-11,0.0037078277555258055,1688.75,1682.5,6.923812297874093,6.923812297874093,0.0,0.006583402028777418,0.006583402028777418,4.3341182272510626e-05,-0.010535631279197766,-0.014446540212393819,1664.866851653012,1658.3684246712653,0
