DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,sma_vol_10_predict,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2020-10-14,-0.006799582437205132,3481.0,3504.75,7.236048585017221,7.236048585017221,0.0,0.010285075124312183,0.010285075124312183,0.00010578277031274527,-0.016494683510734395,-0.022512946651188265,3447.414424012518,3426.729283597406,0
2020-10-15,-0.0015812552708993621,3475.5,3481.0,7.163444634835904,7.163444634835904,0.0,0.010871389229400997,0.010871389229400997,0.000118187103777136,-0.017426803877353063,-0.023809813864974876,3420.8628170807297,3399.096955309715,0
2020-10-16,-0.00381968681771383,3462.25,3475.5,7.0753346158516335,7.0753346158516335,0.0,0.01098095232316016,0.01098095232316016,0.00012058131392351653,-0.01759204128031555,-0.024066628785845215,3414.8935194170485,3392.854914928804,0
2020-10-19,-0.011474345208961623,3422.75,3462.25,7.0388510104923965,7.0388510104923965,0.0,0.010566531224801067,0.010566531224801067,0.00011165158212469595,-0.01692385994882448,-0.02316517277551412,3404.148404293731,3382.968214044951,0
2020-10-20,0.002771701263849735,3432.25,3422.75,7.15524455799019,7.15524455799019,0.0,0.010566053010778243,0.010566053010778243,0.00011164147622657598,-0.016936436739273485,-0.023142581214912757,3365.2689472534616,3344.4482768395255,0
2020-10-21,7.283586441175771e-05,3432.5,3432.25,7.084494265160791,7.084494265160791,0.0,0.009688244433205151,0.009688244433205151,9.38620801975306e-05,-0.015522027891181947,-0.021231878187471426,3379.385860484747,3360.145056457923,0
2020-10-22,0.004867957446016646,3449.25,3432.5,7.02290999605694,7.02290999605694,0.0,0.008582720149305317,0.008582720149305317,7.366308516129147e-05,-0.013744964474826803,-0.018818467845018103,3385.643169869114,3368.509598205426,0
2020-10-23,0.0007245327081193409,3451.75,3449.25,7.052375044917279,7.052375044917279,0.0,0.008270978101241937,0.008270978101241937,6.840907875122367e-05,-0.013248434505497526,-0.018130611585198363,3403.8542128294416,3387.276494415741,0
2020-10-26,-0.017019511652449637,3393.5,3451.75,7.021599939027897,7.021599939027897,0.0,0.007582075696591465,0.007582075696591465,5.7487871868842944e-05,-0.012142351462090242,-0.01662463250095747,3410.0910688690765,3394.840287008868,1
2020-10-27,-0.0030989473631031217,3383.0,3393.5,6.76350408429266,6.76350408429266,0.0,0.006466500878446963,0.006466500878446963,4.181563361095534e-05,-0.010335914537880997,-0.014209326562775347,3358.605716829145,3345.6216156791784,0
2020-10-28,-0.03596265070543758,3263.5,3383.0,6.671550559302375,6.671550559302375,0.0,0.006333682432127981,0.006333682432127981,4.011553315104662e-05,-0.010116084134917425,-0.01392866346148165,3348.949805067128,3336.205977138845,1
2020-10-29,0.011803815228700998,3302.25,3263.5,6.213448654571707,6.213448654571707,0.0,0.011648884728528089,0.011648884728528089,0.00013569651541853493,-0.01852611962169298,-0.02572721154509597,3203.5966106059736,3180.6100803181457,0
2020-10-30,-0.01142086420345656,3264.75,3302.25,6.167208189123079,6.167208189123079,0.0,0.012839774496386866,0.012839774496386866,0.00016485980911806658,-0.020410047998494284,-0.02837031817806148,3235.5340726092004,3209.880587017093,0
2020-11-02,0.010890782028308621,3300.5,3264.75,6.137502176332995,6.137502176332995,0.0,0.012965069445959525,0.012965069445959525,0.00016809302573855323,-0.020602572477187785,-0.028655649054887097,3198.1759051653466,3172.5241759922237,0
2020-11-03,0.018313330780266313,3361.5,3300.5,6.099100942278994,6.099100942278994,0.0,0.013713439329961132,0.013713439329961132,0.00018805841825652483,-0.02178254121804521,-0.030321404567563277,3229.384077363904,3201.9262043711233,0
2020-11-04,0.021629622747358468,3435.0,3361.5,6.201615075653108,6.201615075653108,0.0,0.015156439599190503,0.015156439599190503,0.00022971766132391,-0.024101450804896955,-0.03347774113539144,3281.451490568907,3250.827443026964,0
2020-11-05,0.020102265592194968,3504.75,3435.0,6.338921094959895,6.338921094959895,0.0,0.016758109790032484,0.016758109790032484,0.00028083424373478256,-0.02668568238493115,-0.036966254131510876,3344.546949460846,3310.339233311561,0
2020-11-06,-0.0011419600127577922,3500.75,3504.75,6.443550655596972,6.443550655596972,0.0,0.0177857239820931,0.0177857239820931,0.00031633197756720166,-0.028350377269125076,-0.039194334317863316,3406.784259641229,3370.0408196565572,0
2020-11-09,0.012278801489085112,3544.0,3500.75,6.330725798566471,6.330725798566471,0.0,0.01780367729599396,0.01780367729599396,0.00031697092525989075,-0.028348362886180044,-0.03927571914376474,3402.9029234891336,3365.9206183411115,0
2020-11-10,-0.0008468596130679629,3541.0,3544.0,6.348815377390922,6.348815377390922,0.0,0.016918564392054598,0.016918564392054598,0.00028623782108809775,-0.026943800772620288,-0.03731667474365575,3449.786109828528,3414.1868657162113,0
2020-11-11,0.007596041587996538,3568.0,3541.0,6.256058656689436,6.256058656689436,0.0,0.016832822728658322,0.016832822728658322,0.0002833439210144362,-0.02678237614263914,-0.03716073645616984,3447.42231595074,3411.828745932598,0
2020-11-12,-0.009999379141218512,3532.5,3568.0,6.240703499285072,6.240703499285072,0.0,0.010052026476117809,0.010052026476117809,0.00010104323627657341,-0.015991053763636007,-0.02219453297374846,3511.397691610457,3489.6822343657886,0
2020-11-13,0.013915468061975744,3582.0,3532.5,6.272106672353644,6.272106672353644,0.0,0.0114566253670553,0.0114566253670553,0.00013125426480105497,-0.01823140166839286,-0.025288109368532593,3468.6810953376807,3444.2897891200737,0
2020-11-16,0.01138110827441885,3623.0,3582.0,6.356978480821826,6.356978480821826,0.0,0.009848913655545584,0.009848913655545584,9.700110019439228e-05,-0.015686217161367654,-0.021721710211553655,3526.250363708317,3505.0318008004106,0
2020-11-17,-0.004495322069194785,3606.75,3623.0,6.389935307580924,6.389935307580924,0.0,0.009858057953331074,0.009858057953331074,9.718130661123403e-05,-0.015705769680826202,-0.021735091382677502,3566.5425111364034,3545.1033756434167,0
2020-11-18,-0.011643035977485283,3565.0,3606.75,6.334000599776507,6.334000599776507,0.0,0.010148411016188809,0.010148411016188809,0.00010299024615350237,-0.01615958958251967,-0.022387153582662286,3548.9347933913114,3526.902250574848,0
2020-11-19,0.004198746546348886,3580.0,3565.0,6.411139299331438,6.411139299331438,0.0,0.010273878983931627,0.010273878983931627,0.00010555258937647197,-0.0163715507560428,-0.022647374708680258,3507.1105842997395,3485.169496905348,0
2020-11-20,-0.00721872987893768,3554.25,3580.0,6.363945910848367,6.363945910848367,0.0,0.008728780583344472,0.008728780583344472,7.619161047217146e-05,-0.013903138084350501,-0.019249990168394675,3530.571169786106,3511.744105586414,0
2020-11-23,0.006100786777597733,3576.0,3554.25,6.386700204193213,6.386700204193213,0.0,0.009137001065431583,0.009137001065431583,8.348478846969787e-05,-0.014556537896355649,-0.020145917081620012,3502.887164659455,3483.3628153789646,0
2020-11-24,0.015745079907400594,3632.75,3576.0,6.396778294627666,6.396778294627666,0.0,0.00858033753797844,0.00858033753797844,7.362219226564192e-05,-0.013671009312900417,-0.01891674696861816,3527.4451240036924,3508.9895212348206,0
2020-11-25,-0.0015151518050107171,3627.25,3632.75,6.48134277390398,6.48134277390398,0.0,0.009623173282850126,0.009623173282850126,9.260546403176047e-05,-0.015344638418423016,-0.021199116819994833,3577.432265514712,3556.5494542133856,0
2020-11-27,0.0025468951987992483,3636.5,3627.25,6.397971687945873,6.397971687945873,0.0,0.009533956947405192,0.009533956947405192,9.089633507497573e-05,-0.01519057896072354,-0.021018919466724365,3572.5663620582777,3551.8047903463485,0
2020-11-30,-0.0036502674919685063,3623.25,3636.5,6.3447834332757775,6.3447834332757775,0.0,0.008708588819490139,0.008708588819490139,7.583951922694864e-05,-0.013868389132125314,-0.019208962302786372,3586.4156999351803,3567.3132389175726,0
2020-12-01,0.010228336984070552,3660.5,3623.25,6.323056634934464,6.323056634934464,0.0,0.008057051689349181,0.008057051689349181,6.491608192484449e-05,-0.012828075811336279,-0.01777552657417557,3577.0675237817586,3559.4138646466067,0
2020-12-02,0.0018423122811750403,3667.25,3660.5,6.381409047269714,6.381409047269714,0.0,0.007916798939506748,0.007916798939506748,6.267570544857516e-05,-0.012611943262047277,-0.017456400439008056,3614.6238832704835,3597.155339626722,0
2020-12-03,-0.0007501620019674249,3664.5,3667.25,6.309238031871254,6.309238031871254,0.0,0.0076998346395056715,0.0076998346395056715,5.9287453475731436e-05,-0.0122576479574108,-0.016989685240766213,3622.5725203344955,3605.470866849488,0
2020-12-04,0.009100232581165102,3698.0,3664.5,6.254257208304796,6.254257208304796,0.0,0.006401335710393753,0.006401335710393753,4.097709887716229e-05,-0.010184852159761542,-0.014132063594339014,3627.36702716664,3613.0772634723658,0
