DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,rs_vol_20,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2020-02-20,-0.005328215077270215,3369.25,3387.25,7.038490754378877,7.038490754378877,0.0,0.007911785747259835,0.007911785747259835,6.259635371054387e-05,-0.012671861339156126,-0.01734518310430528,3344.598048227004,3329.0041314487266,0
2020-02-21,-0.008943936792054075,3339.25,3369.25,7.137919242873247,7.137919242873247,0.0,0.007937959125254376,0.007937959125254376,6.301119507420921e-05,-0.012722378383156508,-0.01738870837844137,3326.6566455266093,3311.169529935767,0
2020-02-24,-0.03442575882439236,3226.25,3339.25,7.266465786347617,7.266465786347617,0.0,0.008065216433700282,0.008065216433700282,6.50477161224291e-05,-0.012937072041150093,-0.01764976945376718,3296.328122540472,3280.8300730188516,1
2020-02-25,-0.02948906426260045,3132.5,3226.25,5.519706291332043,6.0,0.0,0.009717535866916,0.009717535866916,9.44305033247989e-05,-0.015417842942535488,-0.021507907330188463,3176.8896768441546,3157.6010083923443,1
2020-02-26,-0.007128298975622727,3110.25,3132.5,5.701335284042114,6.0,0.0,0.010649822143421406,0.010649822143421406,0.00011341871168650892,-0.016897008400270332,-0.02357134471955293,3080.0147914347026,3059.5261868256043,0
2020-02-27,-0.050527867942122384,2957.0,3110.25,5.707472959145619,6.0,0.0,0.011702223248062938,0.011702223248062938,0.0001369420289475047,-0.018566748050952316,-0.02590063331110629,3053.0355585248503,3030.7268507859094,1
2020-02-28,-0.0020311449095382628,2951.0,2957.0,5.574075275219138,6.0,0.0,0.01402649393489602,0.01402649393489602,0.0001967425321056748,-0.022254436050904547,-0.031044961999706695,2891.920472605763,2866.61037815324,0
2020-03-02,0.03790347342737288,3065.0,2951.0,5.515533407041225,6.0,0.0,0.015203979990966456,0.015203979990966456,0.00023116100756570836,-0.024122635492424188,-0.033651102210907106,2880.665835959567,2853.3478632979527,0
2020-03-03,-0.022435781053648185,2997.0,3065.0,5.556565083798698,6.0,0.0,0.016864265351999683,0.016864265351999683,0.000284403445862657,-0.02675684433783234,-0.03732582635659776,2984.0777124550596,2952.705128939811,0
2020-03-04,0.0385371038623088,3114.75,2997.0,5.610386541067365,6.0,0.0,0.01732515659596853,0.01732515659596853,0.0003001610510748318,-0.027488094410939263,-0.03834592098761693,2915.7401370099387,2884.2527876914082,0
2020-03-05,-0.03238323828793099,3015.5,3114.75,5.807679596735667,6.0,0.0,0.017637183878433126,0.017637183878433126,0.0003110702551616614,-0.027983156914511177,-0.03903653370751306,3028.7976793628086,2995.5035824628185,1
2020-03-06,-0.01722594647506437,2964.0,3015.5,5.859609896960687,6.0,0.0,0.01904697836514342,0.01904697836514342,0.00036278738484224156,-0.03021993692489976,-0.04215684420495182,2925.7349584983017,2891.0183482804537,0
2020-03-09,-0.07575731246696726,2747.75,2964.0,5.806712656324781,6.0,0.0,0.020121897827389254,0.020121897827389254,0.0004048907721758924,-0.031925404202999,-0.04453597287481457,2870.867655956302,2834.8916976390756,1
2020-03-10,0.04204770104610933,2865.75,2747.75,5.639285607598128,6.0,0.0,0.02147381872349659,0.02147381872349659,0.0004611248905695928,-0.034070361971344214,-0.047528191246780295,2655.7099843037868,2620.209309541702,0
2020-03-11,-0.04478093889928658,2740.25,2865.75,5.526239087133945,6.0,0.0,0.022498504898987512,0.022498504898987512,0.0005061827226897651,-0.0356961291139069,-0.04979613814266124,2765.2580748151304,2726.5415044249094,1
2020-03-12,-0.10423594675065306,2469.0,2740.25,5.624053233962902,6.0,0.0,0.02536203628432043,0.02536203628432043,0.0006432328844871861,-0.04023940816784832,-0.056134017263077866,2632.173021477431,2590.6663998371687,1
2020-03-13,0.08795598268701799,2696.0,2469.0,5.735333990939313,6.0,0.0,0.02741055565370834,0.02741055565370834,0.0007513385612450422,-0.04348958911232969,-0.060668023143199634,2363.9255864862307,2323.6638535996058,0
2020-03-16,-0.10955244150965715,2416.25,2696.0,5.96716706362364,6.0,0.0,0.029977618499435237,0.029977618499435237,0.0008986576108976818,-0.04756249116497695,-0.0663497258456962,2570.7731799349285,2522.9263232829303,1
2020-03-17,0.02825709501218654,2485.5,2416.25,6.181824617548948,6.181824617548948,0.0,0.031972261161037005,0.031972261161037005,0.0010222254837495553,-0.05083092895254242,-0.07063455425554867,2296.4990763574165,2251.4674357223575,0
2020-03-18,-0.034380304429848074,2401.5,2485.5,6.125038439082061,6.125038439082061,0.0,0.03598383941096864,0.03598383941096864,0.0012948366987543798,-0.057173485174122476,-0.07954211139621337,2347.3812882322386,2295.456501718362,0
2020-03-19,-0.0052186737790691495,2389.0,2401.5,6.08752600023815,6.08752600023815,0.0,0.03814574760405979,0.03814574760405979,0.0014550980602726332,-0.06058315883419974,-0.08435286499630917,2260.3290121563955,2207.2351680513348,0
2020-03-20,-0.04297828723211339,2288.5,2389.0,5.964318987851712,6.0,0.0,0.04178719909245532,0.04178719909245532,0.0017461700079924986,-0.06629957238536084,-0.09248797410962346,2235.7467664687674,2177.956156698595,0
2020-03-23,-0.03016418536153953,2220.5,2288.5,5.938719865867638,6.0,0.0,0.04494854900626837,0.04494854900626837,0.0020203720577689093,-0.07131537033301859,-0.0994850175901709,2130.9783867874567,2071.787090404819,0
2020-03-24,0.09344563530905958,2438.0,2220.5,5.806667661812642,6.0,0.0,0.044873558033393046,0.044873558033393046,0.0020136362105762935,-0.07119638965131757,-0.09931903941244227,2067.9049764510196,2010.5601329083397,0
2020-03-25,0.011824806488140105,2467.0,2438.0,5.94799359605165,6.0,0.0,0.046046571239846346,0.046046571239846346,0.0021202867229462444,-0.0730574924693879,-0.10191527982637054,2266.2365283231893,2201.772573622055,0
2020-03-26,0.05558080651718722,2608.0,2467.0,5.818221064880132,6.0,0.0,0.047241024905617615,0.047241024905617615,0.002231714434133184,-0.07495261272139493,-0.10455897459688088,2288.8516406530916,2222.0803750441482,0
2020-03-27,-0.032738699385440384,2524.0,2608.0,5.9073139721263175,6.0,0.0,0.04676682764967423,0.04676682764967423,0.002187136168414334,-0.07420025132895515,-0.10350942965290148,2421.490822228021,2351.54889291637,0
2020-03-30,0.033984089209671886,2611.25,2524.0,5.870788681088632,6.0,0.0,0.04667136662665919,0.04667136662665919,0.002178216462800037,-0.0740487928645732,-0.10329814493373285,2343.8529891638273,2276.2897156407125,0
2020-03-31,-0.01602041597774395,2569.75,2611.25,5.85899183660204,6.0,0.0,0.046230478669611476,0.046230478669611476,0.0021372571580214016,-0.07334928000759887,-0.1023223237530298,2426.5724661215077,2357.2759882869577,0
2020-04-01,-0.048537253260814595,2448.0,2569.75,5.726086886358713,6.0,0.0,0.04617392949564024,0.04617392949564024,0.002132031765068356,-0.07325955908505646,-0.10219716297049923,2388.2217678464986,2320.1027069616134,0
2020-04-02,0.027597682584198147,2516.5,2448.0,5.902336067618153,6.0,0.0,0.04635248587736268,0.04635248587736268,0.002148552947011107,-0.07354285665014769,-0.10259236337561169,2274.4278084520242,2209.307242096436,0
2020-04-03,-0.013502230432947293,2482.75,2516.5,5.904273370968646,6.0,0.0,0.04603375760538984,0.04603375760538984,0.0021191068392717866,-0.07303716235625232,-0.10188691929688778,2339.253554970611,2272.7308542472756,0
2020-04-06,0.06311519472256677,2644.5,2482.75,5.836207122047486,6.0,0.0,0.045921504250979156,0.045921504250979156,0.0021087845526726965,-0.07285906117795166,-0.10163846796341881,2308.2917657443545,2242.8073195479324,0
2020-04-07,-0.0009458054237638791,2642.0,2644.5,6.004079000829222,6.004079000829222,0.0,0.04613905906826128,0.04613905906826128,0.0021288127717045036,-0.07320775862935296,-0.10211568915104831,2457.8187089091634,2387.785392543744,0
2020-04-08,0.03459522977381102,2735.0,2642.0,5.89724894429282,6.0,0.0,0.045947708519111966,0.045947708519111966,0.0021111919181572743,-0.07290063687121678,-0.10169646609981621,2456.249441432805,2386.528357841846,0
2020-04-09,0.01622955972727702,2779.75,2735.0,5.991336532657047,6.0,0.0,0.044796053916883766,0.044796053916883766,0.0020066864465243576,-0.07107342161578828,-0.0991474988718753,2547.3612367247265,2476.840948254425,0
2020-04-13,-0.007402091930365451,2759.25,2779.75,5.953235945727561,6.0,0.0,0.04392590459470749,0.04392590459470749,0.0019294850944633448,-0.06969284265321994,-0.09722158974829694,2592.617940242726,2522.219848060069,0
2020-04-14,0.029900928998007004,2843.0,2759.25,5.884094415249616,6.0,0.0,0.04227179131600735,0.04227179131600735,0.0017869043410640743,-0.06706842643398195,-0.0935605263265462,2580.260795202785,2512.8017793193617,0
2020-04-15,-0.024209085470465297,2775.0,2843.0,6.026922698273921,6.026922698273921,0.0,0.040934225120365195,0.040934225120365195,0.0016756107862047369,-0.06496675482315828,-0.09057499689791235,2664.171367757955,2596.812771075005,0
2020-04-16,0.004494389587839542,2787.5,2775.0,6.122911791809504,6.122911791809504,0.0,0.037762968575370495,0.037762968575370495,0.0014260417956244195,-0.05999887559026414,-0.08347664913631186,2613.399519226501,2552.757373906192,0
2020-04-17,0.02916689298529196,2870.0,2787.5,6.042694438908951,6.042694438908951,0.0,0.03567656242764337,0.03567656242764337,0.0012728171066535344,-0.056632661637951054,-0.07892864489477756,2634.023368496497,2575.945089665978,0
2020-04-20,-0.022373874371412583,2806.5,2870.0,6.225696986176378,6.225696986176378,0.0,0.03140410973163801,0.03140410973163801,0.000986218108036761,-0.049950778121871174,-0.06934938971046631,2730.162828751822,2677.711843401339,0
2020-04-21,-0.02690421369157292,2732.0,2806.5,6.32453324534404,6.32453324534404,0.0,0.027034991611194437,0.027034991611194437,0.0007308907714173536,-0.04304452824215097,-0.05964395298399894,2688.2586101276343,2644.0033854503044,0
2020-04-22,0.02046987513892784,2788.5,2732.0,6.48674610420431,6.48674610420431,0.0,0.02693494071704317,0.02693494071704317,0.00072549103143063,-0.04295124291860638,-0.05933266054718188,2617.1415187344223,2574.6182769390653,0
2020-04-23,-0.0027831413574697095,2780.75,2788.5,6.53298179583487,6.53298179583487,0.0,0.024810971767493424,0.024810971767493424,0.0006155843200473558,-0.03958073561091394,-0.054630770055905,2680.284863531299,2640.2485139281007,0
2020-04-24,0.017379342110439566,2829.5,2780.75,6.462811078257879,6.462811078257879,0.0,0.022169886234953452,0.022169886234953452,0.0004915038556707786,-0.03534501024116783,-0.048846947750382154,2684.181031543016,2648.182955752646,0
2020-04-27,0.01386351939878594,2869.0,2829.5,6.573046901267166,6.573046901267166,0.0,0.02185889650430197,0.02185889650430197,0.00047781135638578495,-0.03488359495071139,-0.04811314279645704,2732.4985834209238,2696.58693388866,0
2020-04-28,-0.0006101547367327598,2867.25,2869.0,6.6363245380811,6.6363245380811,0.0,0.02145926548724708,0.02145926548724708,0.0004605000752521537,-0.03426440360045028,-0.047206709001268506,2772.3605277843308,2736.710982420879,0
2020-04-29,0.02539627730936367,2941.0,2867.25,6.602413307453279,6.602413307453279,0.0,0.021400662121666532,0.021400662121666532,0.0004579883392457327,-0.034160982188475485,-0.04709207136102509,2770.9560361980575,2735.3552312676175,0
2020-04-30,-0.013177224981949287,2902.5,2941.0,6.876586969573091,6.876586969573091,0.0,0.021396830548169283,0.021396830548169283,0.00045782435750707024,-0.0342300478904589,-0.04697152088722147,2842.032916253063,2806.050949016794,0
2020-05-01,-0.02821517473631019,2821.75,2902.5,6.951932681601639,6.951932681601639,0.0,0.020831768857954788,0.020831768857954788,0.0004339625937512549,-0.03334458561420055,-0.04570232388606981,2807.3131427953344,2772.8345790408807,0
2020-05-04,0.0012395964045239793,2825.25,2821.75,7.321860539184076,7.321860539184076,0.0,0.020485070761470298,0.020485070761470298,0.0004196381241024453,-0.03287051981046765,-0.04481019256107093,2730.5054539964162,2698.097964828304,0
2020-05-05,0.011612693181819012,2858.25,2825.25,7.263339279357706,7.263339279357706,0.0,0.019992466187263008,0.019992466187263008,0.00039969870424885463,-0.032068438562627595,-0.043752192155727634,2736.0859608210326,2704.30423312591,0
2020-05-06,-0.008696852812405176,2833.5,2858.25,7.419368963813456,7.419368963813456,0.0,0.018125933660787963,0.018125933660787963,0.0003285494710752861,-0.02910203807403463,-0.03962069641933607,2776.267810087907,2747.218246577102,0
2020-05-07,0.01627759752031821,2880.0,2833.5,7.392308695745252,7.392308695745252,0.0,0.017555049267723034,0.017555049267723034,0.000308179754792183,-0.028180953058833516,-0.03838055048589121,2754.7639092718578,2726.809231965562,0
2020-05-08,0.016700052399844623,2928.5,2880.0,7.744332280449194,7.744332280449194,0.0,0.016643092710761222,0.016643092710761222,0.00027699253497899334,-0.02676894489544676,-0.036295037353914456,2803.928162664737,2777.344503966337,0
2020-05-11,-0.0019653926429086255,2922.75,2928.5,8.030973789213194,8.030973789213194,0.0,0.015859865715237044,0.015859865715237044,0.00025153534050535145,-0.02554461877864592,-0.03452096146448787,2854.63996341093,2829.130399433951,0
2020-05-12,-0.024329151150697115,2852.5,2922.75,7.9682807438070276,7.9682807438070276,0.0,0.016215299248891243,0.016215299248891243,0.0002629359297310929,-0.026109517468046694,-0.035308991068741656,2847.426023188717,2821.351323307308,0
2020-05-13,-0.013944273246374372,2813.0,2852.5,8.051164957010785,8.051164957010785,0.0,0.01648248721363517,0.01648248721363517,0.00027167238474764687,-0.026549882944744373,-0.03587150978980751,2777.7629785876675,2751.990018220158,0
2020-05-14,0.012014278788180732,2847.0,2813.0,8.029131081877662,8.029131081877662,0.0,0.016810518241748108,0.016810518241748108,0.0002825935235561459,-0.027075554600625877,-0.036590609657934446,2737.858306802293,2711.93097985897,0
2020-05-15,-0.00017563888690030893,2846.5,2847.0,8.026075796997848,8.026075796997848,0.0,0.016678551607551554,0.016678551607551554,0.00027817408372576055,-0.026862629137603327,-0.03630408094054793,2771.540157332038,2745.4959356157715,0
2020-05-18,0.03503680491809025,2948.0,2846.5,7.850686125300696,7.850686125300696,0.0,0.016953598400757303,0.016953598400757303,0.00028742449873416057,-0.027282916834990362,-0.03694544849190835,2769.8890149015606,2743.2537638192703,0
2020-05-19,-0.009971531892019492,2918.75,2948.0,7.711653328213079,7.711653328213079,0.0,0.01651659168567205,0.01651659168567205,0.00027279780091121113,-0.026561000859632162,-0.03602729955152805,2870.7289109545677,2843.681952886586,0
2020-05-20,0.01690133229352231,2968.5,2918.75,7.615883317375704,7.615883317375704,0.0,0.016085634112753832,0.016085634112753832,0.00025874762480938975,-0.025854840950357807,-0.03511082943512082,2844.2533819490077,2818.0484686739314,0
2020-05-21,-0.01066812251210969,2937.0,2968.5,7.679007794409367,7.679007794409367,0.0,0.015575825480528162,0.015575825480528162,0.00024260633939987035,-0.025043841654171204,-0.033982947409986176,2895.0805459536678,2869.316440376133,0
2020-05-22,0.005432950545302795,2953.0,2937.0,7.662708334382949,7.662708334382949,0.0,0.015497860600946892,0.015497860600946892,0.00024018368320638194,-0.024916339669619435,-0.033816703722312214,2864.7248654310065,2839.3409020442887,0
2020-05-26,0.013955669960594719,2994.5,2953.0,7.514999640918385,7.514999640918385,0.0,0.015520137554412181,0.015520137554412181,0.0002408746697078753,-0.02493202087287477,-0.03390101131636161,2880.285962890312,2854.5682091587855,0
2020-05-27,0.013598882865970552,3035.5,2994.5,7.6514221881233935,7.6514221881233935,0.0,0.015449828654397618,0.015449828654397618,0.00023869720545024572,-0.024837628469694947,-0.03371456870339502,2921.039786765288,2895.2246404328557,0
2020-05-28,0.0008232485852293081,3038.0,3035.5,7.748681817669133,7.748681817669133,0.0,0.01517664205394596,0.01517664205394596,0.00023033046403360104,-0.024410832148242245,-0.03309603058881101,2962.298014685935,2936.6812728594377,0
2020-05-29,0.001315789663520306,3042.0,3038.0,7.633149770624444,7.633149770624444,0.0,0.015162751340545427,0.015162751340545427,0.00022990902821521216,-0.024373733905283298,-0.03309236962983382,2964.847715043053,2939.110646930131,0
2020-06-01,0.003937012959339015,3054.0,3042.0,7.565903554227972,7.565903554227972,0.0,0.015149617724609259,0.015149617724609259,0.000229510917201795,-0.024343715256419145,-0.03307952937210291,2968.840517913911,2943.018232570286,0
2020-06-02,0.00750288954346523,3077.0,3054.0,7.464753038634852,7.464753038634852,0.0,0.014981192536767786,0.014981192536767786,0.0002244361298237068,-0.024059355748309492,-0.03273578020362979,2981.3995891450363,2955.643597373586,0
2020-06-03,0.013156491478813592,3117.75,3077.0,7.575623151632842,7.575623151632842,0.0,0.01469206540596608,0.01469206540596608,0.00021585678589318522,-0.023609743950172492,-0.03207822052562929,3005.2036990334277,2979.8616575962255,0
2020-06-04,-0.0023281028457819986,3110.5,3117.75,7.623202387086112,7.623202387086112,0.0,0.014520127077327836,0.014520127077327836,0.000210834090341749,-0.023339483919702343,-0.031692084683111764,3045.825924326049,3020.4913086413994,0
2020-06-05,0.024218103707957184,3186.75,3110.5,7.533870803361701,7.533870803361701,0.0,0.014701203089510824,0.014701203089510824,0.0002161253722790426,-0.02361896159825628,-0.03210780670180051,3037.8940339810424,3012.2149690913725,0
2020-06-08,0.012706255057766569,3227.5,3186.75,7.4273313561577154,7.4273313561577154,0.0,0.014725029954335667,0.014725029954335667,0.00021682650715608263,-0.02364283062572336,-0.0321849089032349,3112.2899017140608,3085.8177025166124,0
2020-06-09,-0.006839759293486125,3205.5,3227.5,7.480630560819323,7.480630560819323,0.0,0.014502477040230364,0.014502477040230364,0.00021032184030240887,-0.023292674735534157,-0.03168604136014396,3153.191671777614,3126.8365369167373,0
2020-06-10,-0.006101872957318122,3186.0,3205.5,7.44935008057556,7.44935008057556,0.0,0.014077314468323669,0.014077314468323669,0.00019817078264007488,-0.022605742639040978,-0.03076417707284165,3133.8501917124095,3108.386891965089,0
2020-06-11,-0.056743079697664456,3010.25,3186.0,7.427443102731131,7.427443102731131,0.0,0.013888366574619454,0.013888366574619454,0.0001928867261110069,-0.02229948015570498,-0.030356165295093815,3115.740146792091,3090.7384600507576,1
2020-06-12,0.008105917005584828,3034.75,3010.25,6.203155194852469,6.203155194852469,0.0,0.013729310998059466,0.013729310998059466,0.00018849398048143663,-0.021832416081648896,-0.030325020660469857,2945.241201268592,2920.3343441006045,0
2020-06-15,0.012525234352571246,3073.0,3034.75,6.110173628986449,6.110173628986449,0.0,0.015028382620906684,0.015028382620906684,0.00022585228420037004,-0.02387415373035757,-0.033225132046484564,2963.155936345587,2935.576676928315,0
2020-06-16,0.01461766387533281,3118.25,3073.0,6.061225706846363,6.061225706846363,0.0,0.015136543858731854,0.015136543858731854,0.000229114959987313,-0.024032727255513163,-0.03348083712606196,3000.0278018029967,2971.8166902170574,0
2020-06-17,-0.003614316612770452,3107.0,3118.25,6.044589441937743,6.044589441937743,0.0,0.015044412641635833,0.015044412641635833,0.00022633435173181207,-0.023881890209880623,-0.033282694182398286,3044.662497665617,3016.1743379684035,0
2020-06-18,-0.0029008884162333715,3098.0,3107.0,5.923735880395734,6.0,0.0,0.015191560214971611,0.015191560214971611,0.0002307835017651083,-0.024102930275145606,-0.033623613411810596,3033.0074958543923,3004.26821839753,0
2020-06-19,-0.012505238074218994,3059.5,3098.0,5.846954036277113,6.0,0.0,0.015853660611514053,0.015853660611514053,0.00025133855478507214,-0.025153418800825885,-0.0350890460242693,3021.046586563724,2991.1792150897872,0
2020-06-22,0.016612350753145932,3110.75,3059.5,5.852860341753504,6.0,0.0,0.01576329412878469,0.01576329412878469,0.0002484814417905778,-0.025010043334342234,-0.03488903709577999,2983.9307070864456,2954.5976035819576,0
2020-06-23,0.0024882623104360846,3118.5,3110.75,5.927118496231267,6.0,0.0,0.01608710370643369,0.01608710370643369,0.0002587949056615526,-0.02552379962810372,-0.03560572767290595,3032.3565455508133,3001.938140793205,0
2020-06-24,-0.022538448977922343,3049.0,3118.5,5.847076166720189,6.0,0.0,0.01635941348319756,0.01635941348319756,0.00026763040951422617,-0.02595584633493977,-0.03620843328922187,3038.598139227477,3007.6038051369733,0
2020-06-25,0.0071081634309493325,3070.75,3049.0,5.916145887730767,6.0,0.0,0.01667377399727932,0.01667377399727932,0.00027801473931234803,-0.026454610743924193,-0.03690421017111226,2969.3974613376026,2938.530004484483,0
2020-06-26,-0.020978927430675753,3007.0,3070.75,5.858152298830837,6.0,0.0,0.016569675779405716,0.016569675779405716,0.0002745541554346244,-0.026289448505703153,-0.03667380867283883,2991.073589326372,2960.173918216829,0
2020-06-29,0.013460709456728281,3047.75,3007.0,5.970791716437437,6.0,0.0,0.016447439658574852,0.016447439658574852,0.00027051827132246084,-0.026095508669649513,-0.036403262394930795,2929.545804069139,2899.5038658395374,0
2020-06-30,0.01384838032267588,3090.25,3047.75,5.984076592436413,6.0,0.0,0.016568305912765233,0.016568305912765233,0.0002745087608189714,-0.02628727507521579,-0.036670776734993506,2968.6768199886315,2938.0110438935358,0
2020-07-01,0.004117391680447113,3103.0,3090.25,6.0012278908181065,6.0012278908181065,0.0,0.01666716254153262,0.01666716254153262,0.0002777943071858681,-0.02644450462524055,-0.03688910979668453,3009.6009317600433,2978.3304266179134,0
2020-07-02,0.008344079220503176,3129.0,3103.0,5.916847458504048,6.0,0.0,0.016797803481854223,0.016797803481854223,0.00028216620181499384,-0.02665139593099306,-0.03717872571671782,3021.393018784679,2989.752654548617,0
