DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,rs_vol_daily,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2024-05-24,0.006835296605856911,5321.5,5285.25,99.99891611473866,10.0,0.0,0.0034536365721343316,0.0034536365721343316,1.1927605572383776e-05,-0.0055987403623657455,-0.007439614539616136,5255.74193856676,5246.075678863465,0
2024-05-28,0.0006105436376113715,5324.75,5321.5,99.97692138956882,10.0,0.0,0.005785780142592391,0.005785780142592391,3.347525185841643e-05,-0.009379412145872512,-0.012463376841429407,5271.820803299543,5255.587738026801,0
2024-05-29,-0.007682375476495196,5284.0,5324.75,88.2000836820129,10.0,0.0,0.005624730826536498,0.005624730826536498,3.163759687098995e-05,-0.009118332762648267,-0.01211645416780709,5276.4178468268565,5260.62219600904,0
2024-05-30,-0.005884044688253098,5253.0,5284.0,88.20594275243775,10.0,0.0,0.004782981719928618,0.004782981719928618,2.287691413317132e-05,-0.007753761071412557,-0.010303209270310882,5243.187555941538,5229.837345935997,0
2024-05-31,0.008058061329762722,5295.5,5253.0,99.42714577790932,10.0,0.0,0.01306776414814938,0.01306776414814938,0.0001707664598316583,-0.021184342085219913,-0.028149785342574604,5142.889082597621,5107.191051151326,0
2024-06-03,0.000330414673417323,5297.25,5295.5,94.86901731772149,10.0,0.0,0.010180348480700228,0.010180348480700228,0.00010363949518849545,-0.016503510647798474,-0.021929889550761503,5208.822865188683,5180.634368584263,0
2024-06-04,0.001273434908556581,5304.0,5297.25,99.84061937551158,10.0,0.0,0.007816371937155784,0.007816371937155784,6.109567025995647e-05,-0.012671233969697165,-0.016837554588083017,5230.550779005565,5208.803961014746,0
2024-06-05,0.011621499119870649,5366.0,5304.0,70.62792267036443,10.0,0.0,0.003252683815635148,0.003252683815635148,1.0579952004494827e-05,-0.005272972932805159,-0.007006734293590899,5276.1057589848215,5266.966175901886,0
2024-06-06,-0.0003727865840001954,5364.0,5366.0,99.2295631103798,10.0,0.0,0.004058723287752856,0.004058723287752856,1.647323472654735e-05,-0.006579655217390909,-0.00874305566123426,5330.809467842952,5319.289258180695,0
2024-06-07,-0.0015392153042395051,5355.75,5364.0,85.36938809832156,10.0,0.0,0.007425346885369071,0.007425346885369071,5.513577636806016e-05,-0.012037337584131187,-0.015995232125986553,5299.818781667483,5278.884113770934,0
2024-06-10,0.002889905991874997,5371.25,5355.75,83.91392037597042,10.0,0.0,0.004366215070890669,0.004366215070890669,1.9063834045272808e-05,-0.0070781346090095735,-0.009405435819905914,5317.975126098886,5305.612986938903,0
2024-06-11,0.002370936235358556,5384.0,5371.25,80.24468605360215,10.0,0.0,0.007881295287215359,0.007881295287215359,6.211481540428303e-05,-0.012776482154573174,-0.0169774085330409,5303.060856503339,5280.829816439983,0
2024-06-12,0.008047030427883684,5427.5,5384.0,80.97917648937225,10.0,0.0,0.008452534793830886,0.008452534793830886,7.144534444092174e-05,-0.013702526807931058,-0.018207938048887918,5310.728742791887,5286.855545485145,0
2024-06-13,0.002024664781458796,5438.5,5427.5,68.26448455979866,10.0,0.0,0.006019874564983903,0.006019874564983903,3.623888977814014e-05,-0.009758906010925628,-0.012967648855027715,5374.791146315677,5357.572463622502,0
2024-06-14,-0.00018389113696670734,5437.5,5438.5,73.47401699134414,10.0,0.0,0.007287738592993063,0.007287738592993063,5.311113379980051e-05,-0.011814258784544103,-0.015698804684549185,5374.626207297952,5353.788723384287,0
2024-06-17,0.019802627296179764,5546.25,5437.5,69.71296358787349,10.0,0.0,0.006956623612617664,0.006956623612617664,4.839461208762964e-05,-0.011277483485090393,-0.014985536866458187,5376.5231624488315,5356.623644594506,0
