DATE,ES1_CLOSE,ES1_LN_RET,gk_VaR_ret_95,garch_VaR_ret_95,lstm_VaR_ret_95,gk_VaR_price_95,garch_VaR_price_95,lstm_VaR_price_95,sigma_implied,gk_vol_daily,garch_vol,viol_gk_ret,viol_garch_ret,viol_lstm_ret
2011-03-23,1292.0,0.002906697,-0.0144528780352048,-0.019941318855648066,-0.012992177305753042,1269.7649824930734,1262.815042145011,1271.6210844039188,0.0081886908193673,0.0091093391734971,0.0125685857571397,0,0,0
2011-03-24,1305.25,0.010203188,-0.0112942640346397,-0.01874762698235471,-0.013587082474878573,1277.4899055287685,1268.0037055617254,1274.5642084439694,0.008563646793425262,0.007118532485776,0.011816227360702,0,0,0
2011-03-25,1310.0,0.0036325438,-0.007983835965024,-0.018630539933594214,-0.013171845627722339,1294.8705870053727,1281.1576117150091,1288.170181800211,0.008301931910834674,0.0050320406450408,0.0117424299040719,0,0,0
2011-03-28,1302.25,-0.0059335995,-0.010054356022523,-0.01766786711701568,-0.012018703852952424,1296.894786253276,1287.0583558103642,1294.3497342956246,0.0075751313721516,0.0063370450478556,0.0111356778663145,0,0,0
2011-03-29,1316.5,0.010883163,-0.0108522021446689,-0.016972282824935455,-0.011636237357682854,1288.1941262952446,1280.3343500753347,1287.1845325692648,0.0073340709397987655,0.0068399103537956,0.0106972659994959,0,0,0
2011-03-30,1324.0,0.0056807576,-0.0093987581867547,-0.01729459360348601,-0.011548321135448717,1304.1845007060786,1293.9274219274707,1301.384084938392,0.007278659229741256,0.0059238357871895,0.010900411573266,0,0,0
2011-03-31,1321.0,-0.002268432,-0.0036066722042581,-0.016714500575652123,-0.011201818991014844,1319.2333670099813,1302.053921041441,1309.251550606366,0.007060266356688306,0.002273208167687,0.0105347913743099,0,0,0
2011-04-01,1327.75,0.005096755,-0.0101017231699183,-0.015779214373538353,-0.009624516800947096,1307.7227979081456,1300.3192499026823,1308.3470004810322,0.00606612660172542,0.0063668995453649,0.009945300532514,0,0,0
2011-04-04,1329.25,0.0011290931,-0.0067630746137192,-0.015292694739129378,-0.009771573948816224,1318.80062444036,1307.599594269205,1314.838975935148,0.006158813569301288,0.0042626209369491,0.0096386576373341,0,0,0
2011-04-05,1326.75,-0.0018825306,-0.0092348096625172,-0.014416105490421367,-0.009314234812014207,1317.0311355369174,1310.2248555109686,1316.9265342961248,0.005870562516168745,0.0058205025472192,0.0090861622268787,0,0,0
2011-04-06,1329.0,0.001694437,-0.0087232858369126,-0.013674245703375222,-0.00942709731913068,1315.2267140470817,1308.7311722222014,1314.3013680567797,0.0059416973347696436,0.005498100046388,0.0086185839076733,0,0,0
2011-04-07,1328.5,-0.00037629352,-0.0109700269482314,-0.01291380299442887,-0.009410877012347595,1314.5005094938288,1311.9478965484136,1316.5516114511577,0.005931474023147875,0.0069141728014608,0.0081392931711894,0,0,0
2011-04-08,1323.75,-0.0035818683,-0.0139290671758595,-0.012202392824329862,-0.009871678527989744,1310.1235150182624,1312.3876258174841,1315.4499937854284,0.0062219073394341705,0.0087791924187183,0.0076909065927431,0,0,0
2011-04-11,1319.5,-0.003215741,-0.0102183485268184,-0.011676873425706516,-0.010922964876341815,1310.2923357871666,1308.382634802358,1309.3694075780534,0.006884510586502296,0.0064404060075135,0.0073596829822863,0,0,0
2011-04-12,1308.25,-0.008562511,-0.0094210556123507,-0.011130831064810123,-0.010650787339317805,1307.1272906239024,1304.8943059643118,1305.5208626635947,0.006712962920070774,0.005937889376513,0.0070155241886961,0,0,0
2011-04-13,1308.75,0.00038211694,-0.0117528607415664,-0.012121557439933171,-0.010196916507611762,1292.9643211126577,1292.4876973065684,1294.9776674138998,0.0064268978652839885,0.0074075761583973,0.00763995778297,0,0,0
2011-04-14,1310.25,0.0011454755,-0.0128660768023829,-0.011361787048698344,-0.010677837372752729,1292.019381488814,1293.9644155865983,1294.849724848304,0.006730011976225053,0.0081092123755342,0.007161090793926,0,0,0
2011-04-15,1318.75,0.0064663594,-0.0097399056410746,-0.010903774395155037,-0.011238880205081247,1297.5502362814943,1296.040936588387,1295.6066985025502,0.007083625245367094,0.0061388537138616,0.0068724152376308,0,0,0
2011-04-18,1301.0,-0.013551119,-0.0207870574266702,-0.011187607252577022,-0.010634806684539266,1291.6200211351606,1304.0785650873531,1304.799659751306,0.0067028906559696245,0.0131016366468506,0.0070513090026333,0,1,1
2011-04-19,1308.5,0.0057482435,-0.0120963576823913,-0.013797160911558904,-0.013577187362135906,1285.3574384022259,1283.1731563638739,1283.4554515652042,0.008557410116002718,0.0076240749160435,0.0086960547282392,0,0,0
2011-04-20,1328.25,0.014980843,-0.0117132832036488,-0.01340692277989273,-0.012960920064298592,1293.2625832323124,1291.0741162990985,1291.650067289307,0.008168990050195725,0.007382631284742,0.00845009600008,0,0,0
2011-04-21,1331.0,0.002068253,-0.0079945691658285,-0.015470575716864096,-0.01230254079244619,1317.6735469294197,1307.859342100414,1312.00925623801,0.007754027709996428,0.0050388055514011,0.0097507722040489,0,0,0
2011-04-25,1330.75,-0.00018784634,-0.0067393822846235,-0.01458653923943213,-0.01092625452650557,1322.0600409172782,1311.7262268308612,1316.5363160641823,0.00688658398247442,0.0042476881698548,0.0091935829649883,0,0,0
2011-04-26,1341.0,0.007672911,-0.0133126700406373,-0.013593641560772349,-0.00967256326974549,1313.1515653297372,1312.7826589667764,1317.9402876765232,0.006096409260951307,0.0083906905191912,0.0085677808446453,0,0,0
2011-04-27,1351.0,0.0074294545,-0.0090687475874863,-0.01368870648078843,-0.010662587815585168,1328.8937865521846,1322.7685120378103,1326.7774291920757,0.006720400507274262,0.0057158371814957,0.0086276982256554,0,0,0
2011-04-28,1355.0,0.0029563953,-0.0094061158346252,-0.013605953297976127,-0.01015023524579947,1338.3519154348264,1332.7428417648005,1337.3563922355736,0.006397475666753067,0.0059284731549032,0.0085755406686562,0,0,0
2011-04-29,1359.75,0.003499405,-0.0084050845542618,-0.013079531624222398,-0.00993276232601263,1343.658838904654,1337.3926337143043,1341.6077282806034,0.006260407147765804,0.005297544599781,0.0082437483735284,0,0,0
2011-05-02,1357.75,-0.0014719414,-0.0148965893892063,-0.01270919168366676,-0.009474131554522652,1339.6444861671578,1342.5780286848458,1346.9283823694925,0.005971342004980513,0.0093890009272936,0.0080103310486332,0,0,0
2011-05-03,1352.0,-0.00424394,-0.009716133611199,-0.012243359213042143,-0.01097293492106091,1344.621800537983,1341.2279282456916,1342.9329396014198,0.006916005634391878,0.0061238707130744,0.007716726829279,0,0,0
2011-05-04,1343.0,-0.00667906,-0.013102552932775,-0.012134378988086381,-0.010421102140753976,1334.4008968047076,1335.6934545941838,1337.9838287273126,0.00656819726358675,0.0082582582107603,0.0076480389298926,0,0,0
2011-05-05,1335.0,-0.0059746257,-0.0187605465822298,-0.012184345620001657,-0.011069215186159442,1318.0394547604697,1326.7357099117314,1328.2160184946965,0.006976689021351928,0.0118243703075228,0.0076795318267651,0,0,0
2011-05-06,1334.5,-0.00037460198,-0.0167221608175881,-0.012104665882119411,-0.013260793958001395,1312.861532694243,1318.9376816700667,1317.413701913591,0.008357994136465756,0.0105396194605759,0.0076293113962144,0,0,0
2011-05-09,1342.75,0.0061630597,-0.0089633546381195,-0.011760068184556343,-0.013976354082504666,1322.5918514413977,1318.8981084721474,1315.9782899649613,0.008808996342203099,0.0056494102650062,0.0074121188551951,0,0,0
2011-05-10,1353.75,0.008158769,-0.012020666436005,-0.011664981475633189,-0.011582776495322725,1326.7058738799963,1327.1778471380912,1327.286952251314,0.007300375704388916,0.0075763683461742,0.007352187741104,0,0,0
2011-05-11,1338.75,-0.011142177,-0.0179577704253129,-0.012013216748163849,-0.011357095711194358,1329.6566472041447,1337.5844026538139,1338.462307893671,0.0071581339444737975,0.0113183977063606,0.0075716729676402,0,0,0
2011-05-12,1347.5,0.006514681,-0.0156283302751377,-0.013263119214401218,-0.013191689334053076,1317.9902157636345,1321.1112302739505,1321.205600461441,0.008314438973510056,0.0098502015200632,0.0083594596957239,0,0,0
2011-05-13,1334.0,-0.010069076,-0.0156055523256236,-0.013225239047749447,-0.013760418520209004,1326.6347485745214,1329.7963161493233,1329.0848268625803,0.008672896786683454,0.009835845066816,0.0083355846387879,0,0,0
2011-05-16,1325.5,-0.006392201,-0.0130223587511752,-0.014093509178412157,-0.014018635460711146,1316.7407951081327,1315.3311227632435,1315.4296101814261,0.008835645388425418,0.0082077135373634,0.0088828366874911,0,0,0
2011-05-17,1325.5,0.0,-0.0135565404369247,-0.013626127473132608,-0.013274240777050304,1307.6520571702927,1307.5610647052276,1308.021259011591,0.00836646937822887,0.008544396801687,0.0085882560187476,0,0,0
2011-05-18,1338.5,0.009759837,-0.0099637050960276,-0.013113161984784271,-0.012949524886113707,1312.3586857026094,1308.2319704663685,1308.4460632666883,0.008161807913684527,0.0062799097123309,0.0082649448687966,0,0,0
2011-05-19,1341.75,0.0024251482,-0.0088421405498415,-0.013642470216245567,-0.011517398510635116,1326.7169652683958,1320.3635479102422,1323.1723985745143,0.007259169362264636,0.005573011623847,0.0085985564993632,0,0,0
2011-05-20,1327.75,-0.010488952,-0.0100366933879527,-0.012989246107454425,-0.010526919919645083,1328.3506218539817,1324.4343809119043,1327.699588725653,0.006634891941017587,0.0063259126679513,0.008186843347921,1,0,0
2011-05-23,1315.25,-0.009459019,-0.0112537074650559,-0.01383293070493203,-0.010272266104332392,1312.8916524736178,1309.5097749954095,1314.180811156851,0.006474389100693471,0.0070929705494507,0.0087185996621415,0,0,0
2011-05-24,1313.5,-0.0013314314,-0.0091084743150214,-0.014329292316204228,-0.010599197114068565,1303.324473283369,1296.5377848597707,1301.38302521647,0.006680446707127738,0.0057408760861685,0.0090314457443383,0,0,0
