DATE,ret_true,sigma_lstm,gk_vol_actual,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2006-06-02,0.0019425026,0.005789618,0.0068969205,6.1067863,-0.009197065679851398,-0.01483387115986781,0,0
2006-06-05,-0.014661586,0.005732428,0.008942498,6.186996,-0.009114172618925498,-0.014671224445030514,1,0
2006-06-06,-0.0029582903,0.005830593,0.010202009,5.9970193,-0.009250819273605385,-0.01496117356028612,0,0
2006-06-07,-0.007732764,0.0059062312,0.009414941,6.161819,-0.009387972482946212,-0.015121222868245944,0,0
2006-06-08,-0.00039816843,0.005970788,0.014715982,6.4340057,-0.009516566941485649,-0.015231567291681916,0,0
2006-06-09,-0.003590668,0.006049617,0.0074769245,6.1582494,-0.009615514919308666,-0.015489077950641706,0,0
2006-06-12,-0.011658424,0.0061208094,0.010850665,6.3626146,-0.009749054407045682,-0.015628686807270146,1,0
2006-06-13,-0.0032401811,0.006255355,0.010873803,6.5406637,-0.009979794926234643,-0.01593596964322094,0,0
2006-06-14,0.0070743095,0.006714066,0.0066069886,6.5577874,-0.010713237188874224,-0.017100913491389286,0,0
2006-06-15,0.02112474,0.0070339665,0.010242745,6.991403,-0.01126217872519147,-0.0178239059526499,0,0
2006-06-16,-0.006131955,0.006310379,0.0050185034,7.10976,-0.010111908322951509,-0.01596934492542133,0,0
2006-06-19,-0.00916889,0.0061868285,0.009223668,7.4818935,-0.009936842830146583,-0.015595621438699676,0,0
2006-06-20,0.0031987233,0.006155899,0.0067991903,7.512777,-0.009888899168878867,-0.015512850122684937,0,0
2006-06-21,0.0073580923,0.0061007417,0.009954116,7.1652446,-0.009779585905714,-0.01542950301812988,0,0
2006-06-22,-0.004567578,0.0059624743,0.00829149,7.575275,-0.00958151355699513,-0.015016109165987737,0,0
2006-06-23,-0.00039816843,0.0059261792,0.0073101153,7.195471,-0.009501631834360574,-0.014983131103573261,0,0
2006-06-26,0.0037762143,0.0058995015,0.0039117397,7.152087,-0.009456175849668238,-0.014922670056596086,0,0
2006-06-27,-0.008366583,0.0058715087,0.0066401223,6.031655,-0.009319189998013075,-0.01505943943136569,0,0
2006-06-28,0.006380879,0.0058984524,0.0051420266,7.2099376,-0.009458060211441867,-0.014910716820099595,0,0
2006-06-29,0.019486887,0.0059067365,0.008661369,7.040114,-0.009460594155979983,-0.014959370989268502,0,0
2006-06-30,-0.0023419214,0.0057408554,0.0042380067,6.1426477,-0.009123209003401949,-0.014701679038036,0,0
2006-07-03,0.0068153315,0.005666052,0.0032719453,6.09541,-0.008999632473484414,-0.0145195610773317,0,0
2006-07-04,-0.00038819876,0.0056151734,0.0013682477,5.8272114,-0.008909035012263266,-0.014408412393639665,0,0
2006-07-05,-0.006231763,0.005595732,0.006775795,5.53934,-0.00887818910913186,-0.014358525902862629,0,0
2006-07-06,0.0023414644,0.0056412825,0.0050305626,5.7696247,-0.008950459678441674,-0.014475407716112389,0,0
2006-07-07,-0.006060032,0.0056300815,0.009792865,5.822339,-0.00893268815280288,-0.014446666166672364,0,0
2006-07-10,0.0015673984,0.0056410464,0.005540646,5.9786296,-0.008950085064815684,-0.014474801860640485,0,0
2006-07-11,0.0041027702,0.005641272,0.007835993,5.46932,-0.008950442486028887,-0.014475379911151118,0,0
2006-07-12,-0.0109783495,0.0056048636,0.008319717,5.52176,-0.008892676883928332,-0.01438195670469991,1,0
2006-07-13,-0.01649645,0.005749638,0.0077088447,6.146473,-0.009137547201383522,-0.014723399148962613,1,1
2006-07-14,-0.0042172973,0.0059112203,0.008934932,6.1415696,-0.009393837184523442,-0.01513818709831239,0,0
2006-07-17,-0.0014097274,0.006013002,0.007155542,6.0325694,-0.009543868297370297,-0.015422148793421447,0,0
2006-07-18,0.004223234,0.0060317004,0.008558684,5.796985,-0.009569896881975007,-0.015477211690188791,0,0
