https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1679475600,2023-03-22 09:00:00,DAI/USD,0.98196,0.98196,0.98196,0.98196,0.00000,0.0
1679472000,2023-03-22 08:00:00,DAI/USD,0.98196,0.98196,0.98196,0.98196,0.00000,0.0
1679468400,2023-03-22 07:00:00,DAI/USD,0.98196,0.98196,0.98196,0.98196,0.00000,0.0
1679464800,2023-03-22 06:00:00,DAI/USD,0.98196,0.98196,0.98196,0.98196,0.00000,0.0
1679461200,2023-03-22 05:00:00,DAI/USD,0.98196,0.98196,0.98196,0.98196,0.00000,0.0
1679457600,2023-03-22 04:00:00,DAI/USD,0.98196,0.98196,0.98196,0.98196,0.00000,0.0
1679454000,2023-03-22 03:00:00,DAI/USD,0.98196,0.98196,0.98196,0.98196,0.00000,0.0
1679450400,2023-03-22 02:00:00,DAI/USD,0.98196,0.98196,0.98196,0.98196,0.00000,0.0
1679446800,2023-03-22 01:00:00,DAI/USD,0.98196,0.98196,0.98196,0.98196,0.00000,0.0
1679443200,2023-03-22 00:00:00,DAI/USD,0.98196,0.98196,0.98196,0.98196,0.00000,0.0
1679439600,2023-03-21 23:00:00,DAI/USD,0.98196,0.98196,0.98196,0.98196,0.00000,0.0
1679436000,2023-03-21 22:00:00,DAI/USD,0.98196,0.98196,0.98196,0.98196,0.00000,0.0
1679432400,2023-03-21 21:00:00,DAI/USD,0.98196,0.98196,0.98196,0.98196,336.75000,330.67503
1679428800,2023-03-21 20:00:00,DAI/USD,1.00111,1.00111,1.00111,1.00111,0.00000,0.0
1679425200,2023-03-21 19:00:00,DAI/USD,1.00111,1.00111,1.00111,1.00111,0.00000,0.0
1679421600,2023-03-21 18:00:00,DAI/USD,1.00099,1.00111,1.00099,1.00111,8457.91614,8467.3044269154
1679418000,2023-03-21 17:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679414400,2023-03-21 16:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679410800,2023-03-21 15:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
