DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,garch_vol,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2005-08-17,0.0,1221.5,1221.5,99.9997491039291,10.0,0.0,0.0064886977880213,0.0064886977880213,4.2103198984272513e-05,-0.010518922140825407,-0.01397755942140304,1208.7184783740322,1204.545180704597,0
2005-08-18,-0.0004094165870904831,1221.0,1221.5,99.99999831459697,10.0,0.0,0.006327892639113,0.006327892639113,4.0042225252140495e-05,-0.010258238580507204,-0.013631162717848328,1209.0336124837534,1204.9625034599164,0
2005-08-19,0.002249719734015443,1223.75,1221.0,99.45683865522396,10.0,0.0,0.0062702023253882,0.0062702023253882,3.931543720130359e-05,-0.010164715975791163,-0.013506889741286466,1208.6517463588623,1204.6189650823426,0
2005-08-22,0.00020426922755145682,1224.0,1223.75,99.99675722449626,10.0,0.0,0.0062406607327411,0.0062406607327411,3.894584638117668e-05,-0.010116825671276674,-0.013443253033257005,1211.4319494325684,1207.4089039427192,0
2005-08-23,-0.0020445723744764166,1221.5,1224.0,99.95099396405736,10.0,0.0,0.0062063101770451,0.0062063101770451,3.8518286013693584e-05,-0.010061139486981367,-0.013369257148553386,1211.7469086598114,1207.7449304669733,0
2005-08-24,-0.009459252107008709,1210.0,1221.5,99.9999150791108,10.0,0.0,0.00590118560107,0.00590118560107,3.48239914982759e-05,-0.009566497609244417,-0.012711976284048378,1209.8702399005122,1206.0705978409762,0
2005-08-25,0.0028883865758695393,1213.5,1210.0,99.83265051801952,10.0,0.0,0.0062062549678457,0.0062062549678457,3.851760072590943e-05,-0.010061049986547086,-0.013369138220242893,1197.8871656087795,1193.930996457088,0
2005-08-26,-0.006199647879524761,1206.0,1213.5,93.77486480088828,10.0,0.0,0.0061999584681526,0.0061999584681526,3.843948500681714e-05,-0.0100508426395269,-0.013355574682306264,1201.3643911651607,1197.400756748775,0
2005-08-29,0.007023371155096214,1214.5,1206.0,99.99763513514154,10.0,0.0,0.0061814020610442,0.0061814020610442,3.8209731440281484e-05,-0.01002076057869382,-0.013315601595027607,1193.9753116257768,1190.047826569027,0
2005-08-30,-0.004952548298689408,1208.5,1214.5,99.92426425138989,10.0,0.0,0.0061839842242006,0.0061839842242006,3.82416608851619e-05,-0.010024946560856101,-0.013321163934364933,1202.3855273304905,1198.4287280834267,0
2005-08-31,0.010699690554257124,1221.5,1208.5,99.99866645522394,10.0,0.0,0.0061883465730991,0.0061883465730991,3.8295633308787375e-05,-0.010032018427956946,-0.013330561041910648,1196.4369154433996,1192.4969189883936,0
2005-09-01,0.00020464545246934307,1221.75,1221.5,99.99953237382074,10.0,0.0,0.0062463655841419,0.0062463655841419,3.901708301075238e-05,-0.01012607388866488,-0.013455542078308874,1209.1934145984403,1205.1741383285766,0
