DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,gk_vol_daily,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2023-12-01,0.005230194434179936,4600.75,4576.75,99.99973126776489,10.0,0.0,0.005766505727944394,0.005766505727944394,3.3252588310415506e-05,-0.009348166112598076,-0.01242185706583553,4534.165136052665,4520.249910200829,0
2023-12-04,-0.005284819840470689,4576.5,4600.75,99.9999096305133,10.0,0.0,0.00699325517978593,0.00699325517978593,4.890561800960274e-05,-0.011336867450182857,-0.01506444636779739,4548.88644766491,4531.9616782480525,0
2023-12-05,-0.00032781511521129403,4575.0,4576.5,99.99976816521615,10.0,0.0,0.004633384539987536,0.004633384539987536,2.1468252295395515e-05,-0.0075112469122245165,-0.009980956094063258,4542.253556265456,4531.049352209093,0
2023-12-06,-0.004161653142549682,4556.0,4575.0,99.99910361558652,10.0,0.0,0.006791997061624371,0.006791997061624371,4.613122408511409e-05,-0.01101060499440033,-0.014630908330190496,4524.902788574128,4508.5508851995055,0
2023-12-07,0.0073260400920727164,4589.5,4556.0,99.9971905904359,10.0,0.0,0.005715058162716654,0.005715058162716654,3.266188980323425e-05,-0.009264763718058346,-0.012311031839642257,4513.984668096539,4500.254783573056,0
2023-12-08,0.003914324884833675,4607.5,4589.5,99.99670627378102,10.0,0.0,0.007495051970526787,0.007495051970526787,5.617580404089748e-05,-0.01215033750916194,-0.01614538659481766,4534.073433632765,4515.995722423231,0
2023-12-11,0.004007153247405526,4626.0,4607.5,99.9999613983465,10.0,0.0,0.0034720226144030935,0.0034720226144030935,1.2054941034926491e-05,-0.005628546242285144,-0.0074792206372849895,4581.639320477252,4573.168039109323,0
2023-12-12,0.015284667282246645,4697.25,4626.0,99.9995423530179,10.0,0.0,0.005376166524898111,0.005376166524898111,2.890316650343503e-05,-0.008715381566377474,-0.01158101201751863,4585.857826147485,4572.735263503856,0
2023-12-13,0.013427987765295413,4760.75,4697.25,99.9998997837289,10.0,0.0,0.006256573289187922,0.006256573289187922,3.914470932297978e-05,-0.01014262174743769,-0.01347753089771426,4649.848364785729,4634.367371128115,0
2023-12-14,0.002779309059848245,4774.0,4760.75,99.99865617570458,10.0,0.0,0.006521504339363624,0.006521504339363624,4.253001884833858e-05,-0.01057210531725812,-0.014048229305527583,4710.683967614505,4694.337473753391,0
2023-12-15,-0.001257598153589612,4768.0,4774.0,99.99979381686992,10.0,0.0,0.004703456162400889,0.004703456162400889,2.2122499871626895e-05,-0.0076248410361191565,-0.01013190013523048,4737.737432735575,4725.874521718679,0
2023-12-18,0.00522959041444615,4793.0,4768.0,99.99966178329709,10.0,0.0,0.00385499896099955,0.00385499896099955,1.486101698930761e-05,-0.006249394755073465,-0.008304205066583895,4738.295799120971,4728.569496329821,0
2023-12-19,0.005669273759874471,4820.25,4793.0,99.99999051854168,10.0,0.0,0.003140983845188617,0.003140983845188617,9.86577951573587e-06,-0.005091894489850296,-0.006766116988656828,4768.6565793715845,4760.679466831299,0
2023-12-20,-0.014733808854856534,4749.75,4820.25,99.9996806655506,10.0,0.0,0.009342802301163607,0.009342802301163607,8.728795483862798e-05,-0.015145752382626118,-0.02012569834397513,4747.793774183919,4724.208792462095,0
2023-12-21,0.009846620173558307,4796.75,4749.75,99.9973704763327,10.0,0.0,0.0036726505254212885,0.0036726505254212885,1.3488361881877267e-05,-0.005953787060122708,-0.00791140112086765,4721.555016661608,4712.321075367967,0
2023-12-22,0.0017704649490326574,4805.25,4796.75,99.98985485655368,10.0,0.0,0.005306266551466244,0.005306266551466244,2.8156464715209462e-05,-0.008602065705137496,-0.011430437732181732,4755.665002594354,4742.233216728903,0
2023-12-26,0.004101664585846265,4825.0,4805.25,99.99972423662986,10.0,0.0,0.0038803852438662667,0.0038803852438662667,1.5057389640815066e-05,-0.006290548826605805,-0.0083588906581849,4775.11721549238,4765.250847832753,0
2023-12-27,0.0017601081315739009,4833.5,4825.0,99.99934764313991,10.0,0.0,0.0028351706222060975,0.0028351706222060975,8.03819245702051e-06,-0.0045961362364567515,-0.006107352682515142,4802.874527451218,4795.621826058085,0
2023-12-28,-0.0002586452177997245,4832.25,4833.5,99.9931463001586,10.0,0.0,0.0019531313063661793,0.0019531313063661793,3.814721899907658e-06,-0.0031662495023889086,-0.004207317058737734,4818.220135726753,4813.206653203911,0
2023-12-29,-0.002538269642215596,4820.0,4832.25,99.99990002445875,10.0,0.0,0.006209233680750191,0.006209233680750191,3.855458290216257e-05,-0.010065878821260279,-0.013375554783008182,4783.853144146964,4768.046312565448,0
2024-01-02,-0.006817794240369324,4787.25,4820.0,99.9996078931232,10.0,0.0,0.008309756003840768,0.008309756003840768,6.905204484336768e-05,-0.013471066039633309,-0.017900372634932726,4755.5048462496425,4734.48783701959,0
2024-01-03,-0.008548629482422854,4746.5,4787.25,99.99996906795204,10.0,0.0,0.004606730666964893,0.004606730666964893,2.122196743795481e-05,-0.0074680379318965645,-0.009923539936591369,4751.631799985069,4739.978471815277,1
2024-01-04,-0.0035880156686278752,4729.5,4746.5,99.9999456193696,10.0,0.0,0.00523427459099712,0.00523427459099712,2.7397630493958067e-05,-0.008485358493354864,-0.011275357015188232,4706.394640723017,4693.282107112694,0
2024-01-05,0.0011094382626204435,4734.75,4729.5,99.99912811693444,10.0,0.0,0.008702105719331365,0.008702105719331365,7.572664395041965e-05,-0.01410710985675168,-0.018745548607277212,4663.248828926576,4641.668722547498,0
2024-01-08,0.013947373744269242,4801.25,4734.75,99.99939327731995,10.0,0.0,0.009902945467241485,0.009902945467241485,9.806832892715867e-05,-0.016053808597320838,-0.021332324795710976,4659.346109007828,4634.8164720956165,0
2024-01-09,-0.001771941259956833,4792.75,4801.25,99.98834823642714,10.0,0.0,0.005353914526943753,0.005353914526943753,2.866440076181935e-05,-0.008679308529597767,-0.011533078112471278,4759.758787899938,4746.194896365119,0
2024-01-10,0.005721434519347923,4820.25,4792.75,99.99988779709588,10.0,0.0,0.004952066273822894,0.004952066273822894,2.452296038033416e-05,-0.008027866495294913,-0.01066744096617776,4754.428468730746,4741.89534904931,0
2024-01-11,-0.0009859119185868792,4815.5,4820.25,99.99939887321584,10.0,0.0,0.009579939615450403,0.009579939615450403,9.177524303567602e-05,-0.015530179123885695,-0.020636525170830075,4745.968946073973,4721.796156147381,0
2024-01-12,0.0002076411967593117,4816.5,4815.5,99.99998034822616,10.0,0.0,0.006575048181123841,0.006575048181123841,4.3231258584099926e-05,-0.010658906016103451,-0.014163570203548024,4764.444618710441,4747.776066182926,0
