DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,sma_vol_20,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2014-05-14,-0.0047625437287264205,1885.25,1894.25,7.603823005840765,7.603823005840765,0.0,0.00416179526303906,0.00416179526303906,1.7320539811454363e-05,-0.006688920395529695,-0.009084913429334535,1881.6217941564494,1877.1188381252437,0
2014-05-15,-0.009593677845580295,1867.25,1885.25,7.334259405228005,7.334259405228005,0.0,0.004550132927064053,0.004550132927064053,2.070370965395249e-05,-0.007301735129554137,-0.009952281203320163,1871.5345381189097,1866.5805179266945,1
2014-05-16,0.00400855694432245,1874.75,1867.25,7.587935972624487,7.587935972624487,0.0,0.004588831095356831,0.004588831095356831,2.105737082171377e-05,-0.007374622605881597,-0.01001823665209539,1853.5303866031595,1848.6368388138465,0
2014-05-19,0.003992552548733208,1882.25,1874.75,7.662843371583953,7.662843371583953,0.0,0.004606681989976198,0.004606681989976198,2.1221518956771062e-05,-0.007406295507339281,-0.010051881126191596,1860.9163388239308,1855.99963197224,0
2014-05-20,-0.007599529941443528,1868.0,1882.25,7.402388657868221,7.402388657868221,0.0,0.004797542996413615,0.004797542996413615,2.3016418802437328e-05,-0.007701910075154336,-0.010488065513618878,1867.8087636997946,1862.6120010108405,0
2014-05-21,0.009059481093323107,1885.0,1868.0,7.748656369681938,7.748656369681938,0.0,0.005199002608320633,0.005199002608320633,2.7029628121324743e-05,-0.00836232172024457,-0.011337579080941143,1852.4443144985635,1846.941006854537,0
2014-05-22,0.0027812745562680874,1890.25,1885.0,8.154602533761182,8.154602533761182,0.0,0.005225729823220451,0.005225729823220451,2.7308252185295646e-05,-0.008421445389611554,-0.0113654991710003,1869.1922309970596,1863.69732116519,0
2014-05-23,0.0035645954966350146,1897.0,1890.25,8.028157395757788,8.028157395757788,0.0,0.004975763130828045,0.004975763130828045,2.4758218734107706e-05,-0.00801408641809377,-0.01083056147397362,1875.1619125200182,1869.8879961808695,0
2014-05-27,0.006436803833478777,1909.25,1897.0,8.116955438904423,8.116955438904423,0.0,0.005095940896937413,0.005095940896937413,2.596861362507929e-05,-0.008210928229897736,-0.01108585114397759,1881.487641730748,1876.0862777697585,0
2014-05-28,-0.00013095004274532585,1909.0,1909.25,8.452352978825894,8.452352978825894,0.0,0.005083102490445155,0.005083102490445155,2.5837930928369737e-05,-0.008201666015318717,-0.011035305504044782,1893.6550090333094,1888.2966688093197,0
2014-05-29,0.004703431717635986,1918.0,1909.0,8.497299640408443,8.497299640408443,0.0,0.005123353460884478,0.005123353460884478,2.6248750685156957e-05,-0.00826805018225147,-0.011119762545378695,1893.281362986484,1887.8899601355513,0
2014-05-30,0.001823154561514606,1921.5,1918.0,8.574038295157306,8.574038295157306,0.0,0.0051184316250337735,0.0051184316250337735,2.6198342300145875e-05,-0.008262508440273573,-0.011104154357632661,1902.2177988827393,1896.820042329271,0
2014-06-02,0.00013009822434284501,1921.75,1921.5,7.973271283098391,7.973271283098391,0.0,0.005081929073529705,0.005081929073529705,2.5826003108386483e-05,-0.008183001374004443,-0.01106559476891119,1905.8405210106612,1900.354668253165,0
2014-06-03,0.00013008130099656512,1922.0,1921.75,8.137311135576418,8.137311135576418,0.0,0.005086324232262361,0.005086324232262361,2.5870694195699295e-05,-0.008196168362515239,-0.011063507894392713,1906.063386327786,1900.605883425945,0
2014-06-04,0.0019491917028373607,1925.75,1922.0,8.090502167664257,8.090502167664257,0.0,0.004797848209183983,0.004797848209183983,2.3019347438369952e-05,-0.00772971170054793,-0.010439125616237938,1907.2007647085081,1902.0403624063392,0
