DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,yz_vol_20,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2009-10-12,0.003271795393491317,1071.5,1068.0,7.5519426011121,7.5519426011121,0.0,0.009835253388350017,0.009835253388350017,9.67322092130505e-05,-0.015802914586037043,-0.02147764916662297,1051.2551444589387,1045.3064451461385,0
2009-10-13,-0.0025697946626621615,1068.75,1071.5,7.462132343409578,7.462132343409578,0.0,0.00973123080630991,0.00973123080630991,9.469685300567502e-05,-0.01562783527551645,-0.021264366016964693,1054.884941357608,1048.9557756171334,0
2009-10-14,0.017621601349819827,1087.75,1068.75,8.700928540875417,8.700928540875417,0.0,0.0097360794345556,0.0097360794345556,9.479124275597649e-05,-0.015723904832900888,-0.021106735034389996,1052.0765064524974,1046.428571833147,0
2009-10-15,0.0018369695177122836,1089.75,1087.75,9.440494290362594,9.440494290362594,0.0,0.009664582608598062,0.009664582608598062,9.340415699841613e-05,-0.015644942106757872,-0.020871764802929658,1070.864643842646,1065.2820266025306,0
2009-10-16,-0.007137131712075195,1082.0,1089.75,13.175056373212758,10.0,0.0,0.009797174893124174,0.009797174893124174,9.598463588646267e-05,-0.015882342384795987,-0.02110448023690136,1072.578936686323,1066.9923811988979,0
2009-10-19,0.008283526426644094,1091.0,1082.0,11.51508000198208,10.0,0.0,0.00995605667144913,0.00995605667144913,9.912306444510674e-05,-0.01613990794115175,-0.021446733732142738,1064.6767931410968,1059.0417043183315,0
2009-10-20,-0.0013758314483958145,1089.5,1091.0,12.547929678412698,10.0,0.0,0.010168887994623248,0.010168887994623248,0.00010340628304719283,-0.016484931887517432,-0.02190520206640449,1073.1623693246875,1067.3612752883187,0
2009-10-21,-0.010611402915732704,1078.0,1089.5,10.728987298331154,10.0,0.0,0.010347302536460936,0.010347302536460936,0.00010706666978105091,-0.016774162290241115,-0.022289531856702703,1071.3769744124365,1065.48419980625,0
2009-10-22,0.011758060534776682,1090.75,1078.0,10.351776670790873,10.0,0.0,0.010281146837515152,0.010281146837515152,0.00010570198029454782,-0.016666916326703217,-0.02214702326048079,1060.1819625346031,1054.3879424357974,0
2009-10-23,-0.012686134847330166,1077.0,1090.75,9.503641138410575,9.503641138410575,0.0,0.01052126305698298,0.01052126305698298,0.00011069697631423485,-0.017034701590907357,-0.02271503387963321,1072.3267619252608,1066.2528568268547,0
2009-10-26,-0.009797139244983377,1066.5,1077.0,10.180722358116457,10.0,0.0,0.010732958588451025,0.010732958588451025,0.00011519640006140462,-0.017399354912327917,-0.023120288744913238,1058.4229775242181,1052.3850973273102,0
2009-10-27,-0.005641763906668373,1060.5,1066.5,9.1643884232729,9.1643884232729,0.0,0.010707918226483197,0.010707918226483197,0.00011465951274505106,-0.01731992163558604,-0.02315644349627644,1048.1873482056615,1042.0873983951851,0
2009-10-28,-0.020963130688570253,1038.5,1060.5,8.506520025397736,8.506520025397736,0.0,0.010528527072478144,0.010528527072478144,0.0001108498823159052,-0.016991501351931945,-0.022849963020749733,1042.6327384863773,1036.542372061661,1
2009-10-29,0.021905637827144275,1061.5,1038.5,40.44429281478452,10.0,0.0,0.010341374186893324,0.010341374186893324,0.00010694402007334357,-0.016764551756731538,-0.022276761365448646,1021.2351362078274,1015.6213604458969,0
2009-10-30,-0.027215812023672292,1033.0,1061.5,62.17376639690872,10.0,0.0,0.010587261466627244,0.010587261466627244,0.00011209010536273008,-0.017163163193947076,-0.02280643683743516,1043.436756875962,1037.5649414409534,1
2009-11-02,0.005791521979588765,1039.0,1033.0,43.95602749721054,10.0,0.0,0.010892950334897136,0.010892950334897136,0.00011865636699853563,-0.017658719854111486,-0.02346493326619345,1014.9186589159546,1009.0428990512655,0
2009-11-03,0.0026432792033350694,1041.75,1039.0,51.05274362752596,10.0,0.0,0.010908297264382024,0.010908297264382024,0.00011899094920812434,-0.01768359898419677,-0.02349799269133837,1020.7882399663556,1014.8701968366207,0
2009-11-04,0.0050269405679745915,1047.0,1041.75,51.53448089633527,10.0,0.0,0.011200793848854668,0.011200793848854668,0.00012545778284454056,-0.018157769441665916,-0.024128071102074548,1023.0048438236512,1016.9153923251058,0
2009-11-05,0.015401323263206201,1063.25,1047.0,34.84945180257468,10.0,0.0,0.011508458223465782,0.011508458223465782,0.00013244461068125717,-0.018656528623826402,-0.02479082304683526,1027.6476992275043,1021.3631011719302,0
2009-11-06,0.002817564672145778,1066.25,1063.25,25.70404342118548,10.0,0.0,0.011665315513785699,0.011665315513785699,0.0001360795860361693,-0.018910812253300106,-0.025128715512743354,1043.332005185821,1036.8647947908255,0
2009-11-09,0.023634093559781633,1091.75,1066.25,25.85082344512494,10.0,0.0,0.011788183621357999,0.011788183621357999,0.000138961273090853,-0.019109995525408964,-0.025393390541646323,1046.0674259268387,1039.515177815144,0
2009-11-10,0.00022896393917992697,1092.0,1091.75,23.57529563210481,10.0,0.0,0.011764300772202575,0.011764300772202575,0.00013839877265884608,-0.01907127869208213,-0.025341943555806018,1071.1262175316685,1064.4305590500865,0
