DATE,ret_true,sigma_lstm_wf,gk_vol_actual,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2023-06-22,0.0032831456,0.0066547263,0.005096742,15.07679,-0.010788073560508621,-0.01645042083560339,0,0
2023-06-23,-0.007886342,0.006311994,0.0049770186,15.5974,-0.010232465386072634,-0.015603190026700527,0,0
2023-06-26,-0.004281195,0.0060516507,0.004804842,15.971873,-0.009810419100665197,-0.014959623873011063,0,0
2023-06-27,0.011036635,0.0058755213,0.0060296347,15.762013,-0.009524892899679957,-0.014524233240990121,0,0
2023-06-28,-0.00028292544,0.0058527784,0.0049407654,17.139475,-0.00948802391035722,-0.014468012787288117,0,0
2023-06-29,0.0041227858,0.005753812,0.004189819,15.448983,-0.00932758759687087,-0.01422336810078685,0,0
2023-06-30,0.01176616,0.0056357966,0.007171729,16.022875,-0.009136271268245334,-0.013931635373811977,0,0
2023-07-03,0.00089081906,0.0057670567,0.0020853293,16.891851,-0.009349059622265976,-0.014256110170254679,0,0
2023-07-05,-0.0018939399,0.0054770787,0.004187439,16.40145,-0.008878971568471283,-0.01353928651574969,0,0
2023-07-06,-0.008230038,0.0054071355,0.008941478,16.74805,-0.008765585331621108,-0.013366387128042617,0,0
2023-07-07,-0.0029276004,0.0058136173,0.0069918227,18.020823,-0.009424539602421433,-0.014371207405294458,0,0
2023-07-10,0.0023090146,0.0060196165,0.0058301836,16.808886,-0.009758487368634767,-0.014880434679330585,0,0
2023-07-11,0.006559974,0.006046024,0.004927892,17.266209,-0.009801297224541212,-0.0149457141883757,0,0
2023-07-12,0.007571576,0.0059133815,0.0067748995,17.24723,-0.009586268069159617,-0.014617822458855009,0,0
2023-07-13,0.007954964,0.005957331,0.004791662,17.941614,-0.009657515424522164,-0.014726465486969698,0,0
2023-07-14,-0.0014867435,0.0058311364,0.0045733587,19.287937,-0.00945293996618643,-0.01441451429722451,0,0
2023-07-17,0.0037401726,0.0056891376,0.005345394,19.70116,-0.009222743412967664,-0.014063494242150329,0,0
2023-07-18,0.0074386382,0.005633945,0.005765723,17.871683,-0.009133270029209722,-0.01392705887135423,0,0
2023-07-19,0.002014209,0.005624546,0.003678914,18.742407,-0.009118033423948221,-0.013903825013404356,0,0
2023-07-20,-0.0068758796,0.005483275,0.0043020626,17.098772,-0.008889015928922018,-0.013554602870010004,0,0
2023-07-21,-0.00016428904,0.0053966376,0.004360688,18.031,-0.008748567057179581,-0.01334043645437612,0,0
2023-07-24,0.00409915,0.0053243707,0.004286739,17.503513,-0.008631414079661257,-0.013161793272948877,0,0
2023-07-25,0.0027234615,0.0052519985,0.004265307,17.518429,-0.008514090615561045,-0.012982890121472006,0,0
2023-07-26,-0.0001631987,0.005191396,0.005550748,18.224081,-0.008415847300751629,-0.012833081736885557,0,0
2023-07-27,-0.0067689545,0.005212866,0.01171942,17.310616,-0.008450651883246158,-0.012886154236422304,0,0
2023-07-28,0.009214142,0.005808555,0.0071549956,16.4308,-0.009416332614687382,-0.01435869280746005,0,0
2023-07-31,0.0017351701,0.005908626,0.0036010137,16.738552,-0.009578559037283555,-0.014606067179482375,0,0
2023-08-01,-0.002875514,0.00562471,0.0041631497,15.512944,-0.009118299281736809,-0.013904230412244116,0,0
2023-08-02,-0.014006904,0.0053894627,0.008363864,16.125214,-0.008736935989927117,-0.013322700576881678,1,1
2023-08-03,-0.0034220146,0.005642409,0.006292095,16.318361,-0.009146990823079782,-0.01394798131242724,0,0
2023-08-04,-0.0052662333,0.005750737,0.009857376,15.186151,-0.009322602974333098,-0.014215767194286437,0,0
2023-08-07,0.008798441,0.006213716,0.003921291,16.296087,-0.010073145675298352,-0.015360248015326256,0,0
2023-08-08,-0.004251214,0.0059493305,0.008786931,18.148607,-0.009644545784403985,-0.014706688458491567,0,0
2023-08-09,-0.007274375,0.006132724,0.008047863,19.317701,-0.009941848219434187,-0.015160036328643267,0,0
2023-08-10,0.0,0.006293577,0.011125086,21.182743,-0.010202609134417753,-0.015557663093505114,0,0
2023-08-11,-0.0011152625,0.0067453547,0.0058019953,18.230383,-0.010934992482433004,-0.016674453243318572,0,0
2023-08-14,0.005619399,0.00651828,0.006080352,18.98338,-0.010566878192417752,-0.016113126426961125,0,0
2023-08-15,-0.0116072735,0.0062776366,0.008545442,17.735382,-0.010176767757367035,-0.015518258326280319,1,0
2023-08-16,-0.007662873,0.0063689575,0.0065028258,19.552156,-0.010324809189954345,-0.015744002417985604,0,0
2023-08-17,-0.008064101,0.006317431,0.007986156,21.91893,-0.010241279204759049,-0.015616629963473945,0,0
2023-08-18,-0.000399213,0.00649008,0.0074215997,23.875309,-0.010521163312675373,-0.01604341713122884,0,0
2023-08-21,0.006765041,0.0065510576,0.0065950914,25.031567,-0.010620014302430132,-0.016194152141734745,0,0
2023-08-22,-0.0030073505,0.006457377,0.007157503,24.757065,-0.010468147893659081,-0.01596257545465867,0,0
2023-08-23,0.01079564,0.0064238296,0.010292894,20.627552,-0.010413763518029806,-0.01587964629580884,0,0
2023-08-24,-0.013812061,0.006659268,0.012279794,23.564173,-0.010795435711270049,-0.016461647166013667,1,0
2023-08-25,0.0064202943,0.0071785245,0.009350737,25.895214,-0.011637209833369843,-0.017745244138113788,0,0
