DATE,ret_true,sigma_lstm,gk_vol_actual,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2009-07-16,0.00912513,0.012921397,0.013434899,9.350534,-0.02091171743758798,-0.032073290766519116,0,0
2009-07-17,0.0013349354,0.0133010885,0.008060774,8.951226,-0.021499846248908543,-0.033108509672592434,0,0
2009-07-20,0.012725516,0.012613587,0.008542059,8.706797,-0.020371546867295767,-0.031454840626122346,0,0
2009-07-21,0.0047306265,0.011980489,0.011916753,8.837191,-0.019357856911204847,-0.02984650970025177,0,0
2009-07-22,-0.0042038946,0.012024998,0.009750798,8.709452,-0.019421129818346348,-0.0299864459106507,0,0
2009-07-23,0.020329082,0.011628071,0.016373258,8.502048,-0.018765682950762037,-0.02904395479853779,0,0
2009-07-24,0.008989402,0.012262167,0.0088263415,8.93665,-0.019819586822042906,-0.030525728621182385,0,0
2009-07-27,0.0022985581,0.011671452,0.010693616,8.630161,-0.01884473621199748,-0.029122721360733333,0,0
2009-07-28,-0.004089985,0.011497524,0.011142987,8.456373,-0.018551727093829587,-0.028728473511878773,0,0
2009-07-29,-0.0010251154,0.011503978,0.008746373,8.172156,-0.01854047535986246,-0.028813029180995143,0,0
2009-07-30,0.0074083875,0.01116304,0.013771648,7.7233963,-0.017952830357336063,-0.028073094978078722,0,0
2009-07-31,0.0022880395,0.011559861,0.008683996,7.5297937,-0.01857165558267425,-0.029125879176293855,0,0
2009-08-03,0.0163711,0.011114583,0.007821678,7.2322745,-0.017824577039198194,-0.028089886299456877,0,0
2009-08-04,0.0039890353,0.010474419,0.008773423,7.6705427,-0.016840711458383388,-0.02635467665303361,0,0
2009-08-05,-0.0039890353,0.010224584,0.010542485,7.490987,-0.016422848268558735,-0.02577154936978688,0,0
2009-08-06,-0.005762261,0.010276422,0.012317326,7.0582366,-0.01646141475165529,-0.026020771142134486,0,0
2009-08-07,0.011491508,0.010674341,0.016815212,7.1230054,-0.017106349306705973,-0.027009079260520142,0,0
2009-08-10,0.0009930488,0.011595232,0.0066097374,7.2234335,-0.018594350711507265,-0.029307394686471824,0,0
2009-08-11,-0.01449663,0.010731901,0.011807588,7.1010294,-0.017196051443234026,-0.027161257293337196,0,0
2009-08-12,0.009272087,0.011052971,0.017006522,7.323045,-0.017735819333166845,-0.02790745963378967,0,0
2009-08-13,0.011162214,0.012215991,0.009935097,7.5032363,-0.019622833721227396,-0.0307872025384643,0,0
2009-08-14,-0.007676155,0.011899785,0.015938157,7.8073235,-0.01914585518471089,-0.029902187592346644,0,0
2009-08-17,-0.027723549,0.012607816,0.01249169,8.038251,-0.020307394009607526,-0.03161474994890991,1,0
2009-08-18,0.011434504,0.0126995165,0.0068775224,8.137805,-0.02046420810610289,-0.03181685226163672,0,0
2009-08-19,0.007551005,0.012001403,0.015034449,8.300955,-0.019352689360167354,-0.030025971303395398,0,0
2009-08-20,0.007743263,0.012595427,0.008140007,8.406614,-0.020319262122538182,-0.0314845426551856,0,0
2009-08-21,0.02019773,0.011818822,0.01711601,8.638461,-0.019083257301880457,-0.029488525459502535,0,0
2009-08-24,-0.0007317966,0.012576371,0.0094520245,9.402963,-0.02035637524104638,-0.03120588979302149,0,0
2009-08-25,0.001463058,0.012042389,0.013542245,9.324579,-0.019487690069303485,-0.029896679354993454,0,0
2009-08-26,0.0007307271,0.01224408,0.008074379,9.0656,-0.019798576617610107,-0.030452256901811678,0,0
2009-08-27,0.002431908,0.0115205115,0.012299887,9.163083,-0.018634207511162616,-0.02863291434095872,0,0
2009-08-28,-0.0017017142,0.011498908,0.0114463745,9.222995,-0.018602631584083693,-0.02856729810283574,0,0
2009-08-31,-0.0075711682,0.011379115,0.011574919,9.177596,-0.018406314879407297,-0.028278618305852796,0,0
2009-09-01,-0.02306364,0.011332167,0.01698184,9.436998,-0.01834423516784758,-0.028112264426303466,1,0
2009-09-02,-0.0022604556,0.01236885,0.006988798,10.178436,-0.020051321884555325,-0.030575679843207124,0,0
2009-09-03,0.0075150654,0.011790287,0.007847482,10.296536,-0.019113404302179466,-0.02914547649386445,0,0
2009-09-04,0.012154435,0.011132042,0.008395356,9.909779,-0.018042432900928152,-0.02753320342672268,0,0
2009-09-08,0.010789707,0.010515776,0.0074471966,10.661718,-0.017047277416279497,-0.025994899462462865,0,0
2009-09-09,0.007290433,0.010189837,0.011030563,10.919947,-0.016518892235401907,-0.02518918020777111,0,0
2009-09-10,0.008918946,0.010427089,0.009806465,10.447076,-0.016903504900183226,-0.025775664917841744,0,0
2009-09-11,-0.0002400096,0.010355798,0.006946657,11.071311,-0.016787933565508752,-0.02559943353776597,0,0
2009-09-14,0.006221604,0.009934147,0.010646925,11.066368,-0.01610438871525354,-0.024557115798306876,0,0
2009-09-15,-0.0019102202,0.01000432,0.009158045,11.539396,-0.0162181488409937,-0.0247305853183505,0,0
2009-09-16,0.01659199,0.009893454,0.007851139,10.322391,-0.016038420535978662,-0.024456522832867447,0,0
2009-09-17,-0.0007054674,0.00948172,0.010131902,11.132517,-0.015370953751985656,-0.023438722070860583,0,0
2009-09-18,-0.0016480286,0.009575786,0.007736408,9.9791975,-0.015522683732917859,-0.02367418819305243,0,0
2009-09-21,-0.00047136462,0.009407301,0.0074893655,9.289512,-0.015221884659874958,-0.023360333364765874,0,0
