var1,var2,n,mean_diff,std_diff,mae,rmse,corr_pearson,corr_spearman
sma_vol_10,yz_vol_20,5072,-0.0007647981331403089,0.003232501951492145,0.0023185057562398166,0.0033214341636118964,0.8922382434808419,0.8270453647173901
sma_vol_10,yz_vol_10,5072,-0.0005658016163841813,0.0023798011375453583,0.001712959781400492,0.002445908483954314,0.943951239611018,0.8992102166666146
sma_vol_10,yz_vol_5,5072,-0.00034832261602204894,0.003144024999427112,0.002078605155713275,0.003162953197184754,0.8984706058626915,0.8456908812504772
sma_vol_10,garch_vol,5072,-0.0011393892125552906,0.00234609395252585,0.001963358430097012,0.0026079262657028117,0.9448173358930845,0.8797951920833416
sma_vol_10,sma_vol_20_predict,5072,-0.0004737470459082117,0.0030175781474542133,0.001989659949510138,0.0030542460340141206,0.9084699682883389,0.8617153286003513
sma_vol_10,sma_vol_10_predict,5072,5.393943273691471e-07,0.001439077528748885,0.0007326704091407914,0.0014389357579550263,0.9797321653854749,0.9670054143749678
sma_vol_10,sma_vol_5_predict,5072,0.0008566940467684751,0.003106927861012188,0.002027977198669398,0.003222580057834307,0.9074516158774074,0.859623885088563
ewma_vol,gk_vol_daily,5072,0.0010241348617602846,0.004879572743583462,0.003282612016342819,0.004985417528049775,0.7514865541031333,0.701242333493483
ewma_vol,gk_vol_20,5072,0.0003202521452284998,0.0018634761347561739,0.0012497063581676387,0.0018906136812220694,0.9603327950900422,0.9418882741652125
ewma_vol,gk_vol_10,5072,0.0004754927256686159,0.002589212198393908,0.0016977220768290388,0.0026322597459233882,0.9214177659360049,0.9018337406961976
ewma_vol,gk_vol_5,5072,0.0006142478061616653,0.0033696162186490483,0.002185201008103658,0.0034248175428606615,0.869902199890684,0.8432652932573137
ewma_vol,rs_vol_daily,5072,0.0011394834054569934,0.005304370474578298,0.003510382130413434,0.005424870613759765,0.7097120756215327,0.6666869887239882
ewma_vol,rs_vol_20,5072,0.0003299882555650172,0.0021191679614633884,0.0014078543442802786,0.0021444998655271927,0.9481235279610016,0.9242943703892212
ewma_vol,rs_vol_10,5072,0.000496805459091686,0.002829297614930454,0.0018543136960623297,0.0028723095933328798,0.9056161589422851,0.8828069782900778
ewma_vol,rs_vol_5,5072,0.0006552561293353863,0.003639073773828783,0.0023527807739943916,0.0036972432369041038,0.8478302512291594,0.8208107268333689
