t,sigma_next,omega,alpha,beta,shape,_fallback,vxreg1_p,vxreg2_p,_conv,_llh,ab
2005-10-17,0.006139026715078385,0.00030634923499207824,1.2517786484089644e-10,0.9989997571735937,99.31562261006289,0,,,0,-241.25492116259696,0.9989997572987716
2005-10-18,0.006122493578300489,0.0003056533430496758,2.4766575224801258e-12,0.9989997794414414,99.99959329004446,0,,,0,-240.47483753943467,0.998999779443918
2005-10-19,0.006178991491469462,0.000321331000395424,4.848431741304164e-10,0.9989995634311439,99.99785622043429,0,,,0,-241.9266224948508,0.9989995639159871
2005-10-20,0.007367199791301907,0.04553895932730608,0.04834113506378227,0.8384022995125082,99.99981169472781,0,,,0,-243.18940873250008,0.8867434345762905
2005-10-21,0.008526709766272504,0.051352894684127945,0.06272232385377918,0.8134864933459318,99.99925535941414,0,,,0,-244.82131575268588,0.876208817199711
2005-10-24,0.008019518783957007,0.05198876743862137,0.0617674114752789,0.8114656095429734,99.99994170864126,0,,,0,-245.02176823274868,0.8732330210182523
2005-10-25,0.008776499058175239,0.05065766297954204,0.06918694397278191,0.8103693784170255,99.9999890026841,0,,,0,-244.69776175080128,0.8795563223898074
2005-10-26,0.008162653440977918,0.054439245419493694,0.06760705250186048,0.8023185486096374,99.9987620624785,0,,,0,-243.3078790405385,0.8699256011114979
2005-10-27,0.007585107949450261,0.06419309751663002,0.06976653011601795,0.7769757197701685,78.03615146693188,0,,,0,-243.5583696867333,0.8467422498861865
2005-10-28,0.007908216463525394,0.050035403098072216,0.06662450289185312,0.8137471341213883,99.9998936121331,0,,,0,-244.67467007673218,0.8803716370132415
2005-10-31,0.008578857628255925,0.04575335585930155,0.07259291325283383,0.8201564176122366,99.99989605769879,0,,,0,-246.43555415649328,0.8927493308650704
2005-11-01,0.00835837202882797,0.048144692365254406,0.07580479488047144,0.8108203814097659,99.99945753792957,0,,,0,-247.04547952046258,0.8866251762902373
2005-11-02,0.007847776868224398,0.045864302641797985,0.06972662363126969,0.821399359618155,99.99962662904835,0,,,0,-245.54838297626262,0.8911259832494247
2005-11-03,0.007967951544429783,0.043673691590481796,0.07267553559993348,0.8253786594674923,99.99989956894653,0,,,0,-244.13038893520073,0.8980541950674258
2005-11-04,0.007593004016717597,0.04541933262409181,0.07226885240007146,0.8212104796602137,99.9998864962055,0,,,0,-244.04289313209543,0.8934793320602851
2005-11-07,0.0071252631060069625,0.04868260325849722,0.0719521997787093,0.8126619712145158,99.99969183043257,0,,,0,-244.24856732626523,0.884614170993225
2005-11-08,0.006681579271510837,0.05367222682899915,0.07371546740854655,0.7978197845890423,99.99997667341918,0,,,0,-244.3162123481975,0.8715352519975889
2005-11-09,0.006260696765460587,0.06105229558903205,0.07836646080423193,0.7742670183144311,99.99955571636448,0,,,0,-244.3248679709907,0.852633479118663
2005-11-10,0.005949248151990867,0.06663537808819164,0.08242300937822722,0.7556719713915845,99.99998927434001,0,,,0,-243.56422336695036,0.8380949807698117
2005-11-11,0.006259052372521169,0.06935855089729863,0.08364236175491381,0.7504368237784529,95.14438542463493,0,,,0,-243.7214812495184,0.8340791855333667
2005-11-14,0.006104326559791501,0.06431663846780337,0.08047183701043593,0.7635758580986011,99.99994339356695,0,,,0,-243.737488850869,0.844047695109037
2005-11-15,0.005880663636719288,0.0663334694954005,0.08244063754173335,0.7559203281110431,99.99970262536256,0,,,0,-243.04303855685134,0.8383609656527765
2005-11-16,0.005813917658672114,0.06750148322682502,0.08402626197078931,0.7510301398367625,99.99974943277196,0,,,0,-242.7699890634061,0.8350564018075518
2005-11-17,0.005655232641925397,0.07021938785814014,0.08815556495483687,0.7392842744764551,99.99999681748685,0,,,0,-242.6825016129866,0.827439839431292
2005-11-18,0.006109028909422266,0.07084084601745103,0.0887355205064967,0.7394933478279289,99.99966510171018,0,,,0,-242.10255200927114,0.8282288683344255
2005-11-21,0.006032444044509148,0.07497965181068042,0.09209580247768645,0.7278421949088782,96.65894928620676,0,,,0,-242.02383481639797,0.8199379973865647
2005-11-22,0.006023004273599527,0.06803339795695654,0.08633187743846446,0.7483650983336085,99.99994252570131,0,,,0,-242.4027818397249,0.834696975772073
2005-11-23,0.005931924091233815,0.06667964811488912,0.08586463718298988,0.7515256518553778,99.99980775922891,0,,,0,-242.518791339321,0.8373902890383677
2005-11-24,0.005941004309386549,0.06627337265608543,0.08622323005384988,0.7518334742565815,99.99634009302345,0,,,0,-242.66505444513254,0.8380567043104314
2005-11-25,0.005756690824440401,0.07019083463940091,0.09061139317198004,0.7380768314380055,90.5018083597622,0,,,0,-242.33974012495415,0.8286882246099856
2005-11-28,0.0055974548192823,0.06532564146051258,0.08928547020753988,0.7489159731146466,99.999757127795,0,,,0,-242.0274324246038,0.8382014433221865
2005-11-29,0.005885974414503066,0.06896858274147329,0.0927745512389392,0.7366631662404591,99.99991165208333,0,,,0,-242.57237941725845,0.8294377174793983
2005-11-30,0.0056886242102650005,0.06675488202004756,0.09604305708582112,0.7396096408716056,99.99989496909498,0,,,0,-240.06327437723365,0.8356526979574268
2005-12-01,0.005904382037181359,0.06740373852134443,0.09564635133085961,0.7387638312719377,99.9999637907588,0,,,0,-240.68339790202333,0.8344101826027973
2005-12-02,0.006656473210643626,0.07316959265895559,0.09828116535802298,0.7243159723615622,99.99996009757568,0,,,0,-242.27513082013945,0.8225971377195852
2005-12-05,0.006273374046290697,0.0727597910481427,0.0974515917194395,0.7248023779683958,99.99955097066263,0,,,0,-242.29969563627046,0.8222539696878353
2005-12-06,0.006008161272945494,0.07007287517806446,0.09684048494021748,0.7318168138381184,99.9999002049818,0,,,0,-241.07225905228734,0.8286572987783358
2005-12-07,0.005792638996193597,0.06976107040177498,0.09706792554219094,0.7317191766011109,99.99986963370782,0,,,0,-240.71325930727176,0.8287871021433018
2005-12-08,0.005917397628874472,0.07072057179214464,0.09746255319895634,0.729214600295402,99.99997195758372,0,,,0,-241.00915525806755,0.8266771534943583
2005-12-09,0.005701505704731322,0.0723230859189952,0.0996336435095363,0.7221253073383044,99.99918482823053,0,,,0,-240.94759441393504,0.8217589508478407
2005-12-12,0.005556653853242027,0.07090151002417927,0.10188158576004833,0.7235169375050644,99.99997991071021,0,,,0,-239.8400307750288,0.8253985232651128
2005-12-13,0.005425957120037349,0.07046662338781914,0.10337779802762198,0.7228031383398451,99.99999144003208,0,,,0,-239.4282347683601,0.826180936367467
2005-12-14,0.006705228044505152,0.0752262658702117,0.09483162044194646,0.7234689910252159,99.99985900852415,0,,,0,-242.01310125685558,0.8183006114671624
2005-12-15,0.006428580967105186,0.07425337563667815,0.0926066852131419,0.7273608197542055,99.99989060128414,0,,,0,-242.27724859431015,0.8199675049673474
2005-12-16,0.006201700103550058,0.07319681104972163,0.091927349701202,0.7304255368796512,99.65516885582696,0,,,0,-241.8156587247946,0.8223528865808531
2005-12-19,0.006002656321455436,0.0728413608232739,0.09095663012815777,0.7315209802823242,99.99260706004877,0,,,0,-241.93771301365095,0.822477610410482
2005-12-20,0.0060216377688605575,0.07323568968478135,0.09268641235768886,0.729604363715367,99.99999297895238,0,,,0,-241.4855621702789,0.8222907760730558
