DATE,ES1_LN_RET,ES1_CLOSE,sma_var_20,sma_vol_20,sma_vol_20_predict,sma_var_10,sma_vol_10,sma_vol_10_predict,sma_var_5,sma_vol_5,sma_vol_5_predict,ewma_var,ewma_vol,gk_var_daily,gk_vol_daily,gk_var_20,gk_vol_20,gk_var_10,gk_vol_10,gk_var_5,gk_vol_5,rs_var_daily,rs_vol_daily,rs_var_20,rs_vol_20,rs_var_10,rs_vol_10,rs_var_5,rs_vol_5,yz_vo_20,yz_vc_20,yz_vrs_20,yz_var_20,yz_vol_20,yz_vol_10,yz_vol_5,garch_var,garch_vol,shape
2023-10-23,-0.001590059520546916,4241.75,6.428233183101081e-05,0.008017626321487602,0.008111677737206991,5.6226928300242875e-05,0.007498461728930999,0.007993953450575408,3.2205696124375904e-05,0.005675006266461378,0.008969035128992393,6.483457115862033e-05,0.008051991751027837,0.00012180948680345243,0.011036733520541865,9.433047613315263e-05,0.009712387766824006,8.082122018114224e-05,0.008990062301293704,8.570697253644677e-05,0.009257806032556892,0.00012098717512071437,0.010999417035493944,9.199147594301847e-05,0.009591218689145737,7.776161811983691e-05,0.008818254822800083,7.986649123879229e-05,0.00893680542692926,4.4984367830327405e-06,7.256743951055773e-05,9.199147594301847e-05,9.37891104153819e-05,0.009684477808089701,0.008703840214867609,0.00864368167034073,6.523997676109027e-05,0.0080771267639607,18.18852357343454
2023-10-24,0.0069306045064525534,4271.25,5.811372527817171e-05,0.007623235879741077,0.008017626321487543,5.932708203666625e-05,0.0077024075480765265,0.007498461728930966,5.991078318613679e-05,0.007740205629447889,0.005675006266461265,6.382649361859474e-05,0.00798914849145982,5.52365180327095e-05,0.007432127423067335,9.39577078018193e-05,0.009693178415866454,8.017627892764399e-05,0.008954120779152133,7.971393930569848e-05,0.008928266310191384,5.573530449794608e-05,0.007465608113070635,9.288838010582119e-05,0.009637861801552313,7.58657610626445e-05,0.008710095353246398,7.209472459953023e-05,0.008490861240152863,4.632816852685344e-06,6.458254129861997e-05,9.288838010582119e-05,9.358543030558961e-05,0.009673956290245972,0.008619076302530802,0.008416678494153267,6.200161402625854e-05,0.0078741103641147,15.711227508794954
2023-10-25,-0.014503260939083162,4209.75,6.740157865252587e-05,0.00820984644512465,0.007623235879741014,6.480696328725804e-05,0.008050277218037777,0.007702407548076493,6.275205697623039e-05,0.007921619593001824,0.007740205629447811,7.261757867350718e-05,0.008521594843308803,5.8674958422856975e-05,0.00765995812148193,9.216681100719151e-05,0.009600354733403944,8.200402095022767e-05,0.0090556071552507,7.939452888565342e-05,0.008910360760690524,3.6210074949586726e-05,0.006017480780990225,8.942561712745635e-05,0.009456511890092263,7.557160634475803e-05,0.008693193104076201,7.042278017117518e-05,0.008391828178125144,4.609703021580612e-06,7.294219747851886e-05,8.942561712745635e-05,9.174339395592167e-05,0.009578277191432793,0.008631363575851743,0.008343489569075596,6.13888068489626e-05,0.0078351009469542,15.306285831057052
2023-10-26,-0.012729889519276227,4156.5,7.090447446117403e-05,0.008420479467415976,0.008209846445124593,7.05747036728902e-05,0.008400875173033473,0.008050277218037742,6.909113436670329e-05,0.008312107697010625,0.007921619593001746,7.798352918347547e-05,0.008830828340731999,5.319405486842345e-05,0.007293425455053575,9.103557567319108e-05,0.009541256503898796,7.551877710650801e-05,0.008690154032381015,6.88333732963508e-05,0.00829658805150351,4.125699222270153e-05,0.006423160610065852,8.773599499724128e-05,0.009366749436023218,6.830422196447519e-05,0.008264636831977264,5.928837494273644e-05,0.007699894476077996,4.586162807282977e-06,7.574067034050827e-05,8.773599499724128e-05,9.065427581394105e-05,0.009521253899247779,0.008288483659993944,0.00779098520393654,6.702029826929348e-05,0.0081865925921163,14.615230715183472
2023-10-27,-0.00452121215049317,4137.75,7.116198316765674e-05,0.008435756229743527,0.00842047946741592,7.062072534392125e-05,0.008403613826439268,0.00840087517303344,6.077192803399266e-05,0.007795635191181836,0.00831210769701055,7.453099899105296e-05,0.008633133787394526,9.495121694979639e-05,0.009744291505789242,9.12473733125864e-05,0.009552349099179028,7.440066593827952e-05,0.008625582063738048,7.677324701544777e-05,0.008762034410766017,8.946437555912733e-05,0.009458560966612592,8.747427907822883e-05,0.009352768524786061,6.669016960871226e-05,0.008166404937836004,6.873078447001559e-05,0.008290403154854147,4.8380716081068174e-06,7.676544526452728e-05,8.747427907822883e-05,9.082334796492987e-05,0.00953012843381084,0.008237788144390296,0.008274570235747864,7.102640927790926e-05,0.0084277167298094,15.429174162163417
2023-10-30,0.011533737516003839,4185.75,8.008292690727544e-05,0.008948906464327104,0.008435756229743473,7.551348713517754e-05,0.008689849661252923,0.008403613826439234,0.00010771429496508986,0.010378549752498653,0.007795635191181758,7.804076511687425e-05,0.008834068435147774,5.212313575393322e-05,0.007219635430818735,8.967222681359803e-05,0.009469542059339408,7.427147467099531e-05,0.008618089966517832,6.283597680554394e-05,0.00792691470911249,4.426592555806597e-05,0.006653264278387412,8.502135161130774e-05,0.009220702338287888,6.662651289813864e-05,0.008162506532808329,5.338653455748591e-05,0.007306608964320309,3.690530305310928e-06,8.215201873961435e-05,8.502135161130774e-05,8.831291742348179e-05,0.00939749527392708,0.008231119627400982,0.00773799321442592,6.895529519460343e-05,0.0083039325138517,15.873661053993713
2023-10-31,0.006311047381842627,4212.25,7.474177438602612e-05,0.00864533252026931,0.008948906464327052,8.527500311320398e-05,0.009234446551537562,0.008689849661252889,0.00010539943481482297,0.010266422688299122,0.0103785497524986,7.574807835321355e-05,0.008703337196341043,4.9094219947350034e-05,0.007006726764142443,8.637032629978518e-05,0.009293563702895954,7.066072824708521e-05,0.008405993590711643,6.160751718847203e-05,0.007849045622779372,5.0296791646958945e-05,0.0070920230997197796,8.291450554728344e-05,0.009105740252570542,6.21967782934089e-05,0.007886493409203416,5.2298831987288484e-05,0.007231793137755565,3.6853855620629217e-06,7.646765645257062e-05,8.291450554728344e-05,8.570349323694333e-05,0.009257618118984134,0.008098609616719802,0.0077192140098137066,7.077051881053186e-05,0.0084125215488896,14.50306872504195
2023-11-01,0.010332805302985193,4256.0,7.725473751514061e-05,0.008789467419311628,0.008645332520269253,9.276914189538412e-05,0.009631673888550428,0.009234446551537533,8.764742034643897e-05,0.00936202009966006,0.010266422688299068,7.760920557778468e-05,0.008809608707416277,9.496944471137694e-05,0.009745226765518438,8.597549093403256e-05,0.009272296961057306,7.413047166591468e-05,0.008609905438848599,6.886641444617603e-05,0.008298579061874149,7.919012727902051e-05,0.008898883484967118,8.149583532148068e-05,0.009027504379477237,6.565881131217475e-05,0.008103012483772608,6.0894842453175244e-05,0.00780351474998127,3.8108838104916752e-06,8.056908338624833e-05,8.149583532148068e-05,8.517785952152034e-05,0.009229185203555097,0.008427873673617513,0.008211305099341254,6.956839250181494e-05,0.0083407669012996,14.807065244788609
2023-11-02,0.018564853609214893,4335.75,9.432068144439151e-05,0.00971188351682574,0.008789467419311572,0.0001224398374481172,0.011065253609751437,0.009631673888550402,5.7638390768949526e-05,0.007591995177089454,0.00936202009966001,9.363188061501236e-05,0.009676356784193747,5.709647175732531e-05,0.007556220732437963,8.61887058506392e-05,0.009283787257937312,6.924013556015356e-05,0.008321065770690288,6.96468978239564e-05,0.008345471695713575,2.0625658394391337e-05,0.004541548017404565,7.920492529976415e-05,0.008899714899914724,5.802847531512436e-05,0.007617642372487984,5.6768575687513206e-05,0.007534492397468671,3.7375533601079863e-06,9.656065633094829e-05,7.920492529976415e-05,8.535569481272297e-05,0.009238814578327837,0.008248690845568186,0.007805440950074195,7.11906483858225e-05,0.0084374550894107,15.909670179982417
2023-11-03,0.009240459471120843,4376.0,9.179252329501191e-05,0.009580841471134563,0.009711883516825687,0.00010656276761296478,0.01032292437311079,0.011065253609751418,1.6569214876926714e-05,0.0040705300486455955,0.007591995177089408,9.313713325235723e-05,0.009650758169820505,6.753810236208675e-05,0.008218156871348145,7.432015168901228e-05,0.008620913622639557,7.046876096093108e-05,0.00839456734804904,6.416427490641448e-05,0.008010260601654261,5.8314317284063644e-05,0.00763638116414206,6.664288576494711e-05,0.008163509402514773,5.9634674251257574e-05,0.0077223490112308165,5.0538564032500464e-05,0.0071090480398222425,3.8841842886974365e-06,9.500874178937555e-05,6.664288576494711e-05,7.447118176087244e-05,0.008629668693575232,0.008284300719733875,0.006986173021421492,8.020390477989356e-05,0.0089556632797294,14.329508859958391
