DATE,ret_true,sigma_lstm,gk_vol_actual,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2013-01-10,0.007698267,0.006184446,0.0060191997,4.361287,-0.009812242942348497,-0.01586915335110141,0,0
2013-01-11,0.0001704013,0.0062600016,0.0043316153,4.535805,-0.009932119302665568,-0.01606302710211029,0,0
2013-01-14,-0.0020467346,0.0062597515,0.005199644,4.556322,-0.009931722067443804,-0.01606238466116303,0,0
2013-01-15,0.0006827104,0.006323186,0.005680555,4.7111115,-0.010032368261626678,-0.0162251578312809,0,0
2013-01-16,0.00017060479,0.0063827485,0.0042987284,4.3542705,-0.010126869525533941,-0.016377992922872946,0,0
2013-01-17,0.006969854,0.0062967483,0.008476186,4.201764,-0.009990421489017845,-0.01615731811603695,0,0
2013-01-18,0.0021998486,0.0064189327,0.004810777,4.403541,-0.010184279516148954,-0.01647084100565155,0,0
2013-01-22,0.0070743095,0.0062328675,0.0062184883,4.519754,-0.00988906859618304,-0.015993402015668942,0,0
2013-01-23,0.00050339795,0.006054872,0.003206222,4.7514067,-0.00960666059456047,-0.015536668941319073,0,0
2013-01-24,0.0010060363,0.0056915423,0.0061679403,4.5307403,-0.009030201708403195,-0.014604372980162874,0,0
2013-01-25,0.002677826,0.0056423806,0.0048927637,4.4944744,-0.008952201541316148,-0.014478224797714835,0,0
2013-01-28,0.00083535217,0.0055953027,0.0041041574,4.576564,-0.008877507746667195,-0.014357423948344893,0,0
2013-01-29,0.005329793,0.005561839,0.0057413667,4.6406684,-0.008824413956525555,-0.0142715563742643,0,0
2013-01-30,-0.0064994814,0.0055819745,0.0042913714,4.8731422,-0.00885636107893916,-0.014323223845981687,0,0
2013-01-31,-0.0013384643,0.005659581,0.0041158893,4.742181,-0.008979492234455965,-0.01452236151518485,0,0
2013-02-01,0.009000061,0.0057281563,0.005323798,4.8137684,-0.009088293061482872,-0.014698323017459214,0,0
2013-02-04,-0.008832655,0.0057135443,0.006165702,4.564139,-0.009065110450135323,-0.014660830222313927,0,0
