DATE,ret_true,sigma_lstm_wf,gk_vol_actual,garch_pred,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2024-02-16,-0.005314802,0.005282074,0.005398253,0.0073433626,99.605896,-0.008562847246002057,-0.013057237694723335,0,0
2024-02-20,-0.005643666,0.0054259268,0.008088568,0.007338613,79.308495,-0.008796048414228352,-0.01341283940017704,0,0
2024-02-21,0.0009511653,0.006274665,0.008680598,0.00730537,99.9674,-0.010171950245439232,-0.015510912241907756,0,0
2024-02-22,0.020111635,0.006954306,0.008126577,0.007302473,94.396805,-0.011273725688840915,-0.017190977696470402,0,0
2024-02-23,0.0007353482,0.007143965,0.00427029,0.007597076,98.3589,-0.011581185579381122,-0.01765981437626187,0,0
2024-02-26,-0.004174141,0.0059444737,0.004023872,0.0075576524,99.58467,-0.009636672173896892,-0.014694682217932414,0,0
2024-02-27,0.0019173576,0.0052791033,0.003280569,0.0075334,73.449165,-0.008558030578067232,-0.013049892897331217,0,0
2024-02-28,-0.0017697379,0.004779752,0.0037130672,0.007485742,64.76401,-0.00774852483955814,-0.011815501048534566,0,0
2024-02-29,0.004467471,0.004660808,0.0065071383,0.0074437386,71.825645,-0.007555703671449898,-0.011521473635428601,0,0
2024-03-01,0.00824415,0.005422626,0.0062886956,0.0073913154,61.434723,-0.008790697498737414,-0.013404679944164067,0,0
2024-03-04,-0.0015071593,0.005798221,0.003509895,0.0076179276,99.99985,-0.009399580198034442,-0.014333147532633315,0,0
2024-03-05,-0.010270043,0.00496722,0.0081845885,0.007323239,46.596447,-0.00805243236364703,-0.012278920827638557,1,0
2024-03-06,0.0050993003,0.005892024,0.0065531624,0.007644162,99.95764,-0.00955164494515571,-0.014565026660113655,0,0
2024-03-07,0.009733858,0.0062063523,0.010056184,0.0074500013,55.670795,-0.010061207394601299,-0.01534204367695031,0,0
2024-03-08,-0.0063649607,0.0070984126,0.009059483,0.0076683722,99.90257,-0.011507339569634255,-0.017547208735361072,0,0
2024-03-11,-0.0011705034,0.0075621647,0.005197347,0.007486427,79.40678,-0.0122591347561813,-0.01869359943537932,0,0
2024-03-12,0.022819815,0.006441573,0.007531225,0.0073570306,43.936886,-0.010442527642769029,-0.01592350787631012,0,0
2024-03-13,-0.0016708442,0.0066589015,0.0039962535,0.0076322625,28.38344,-0.01079484154021238,-0.016460741131781313,0,0
2024-03-14,-0.0027749885,0.0057398113,0.008594516,0.007605572,98.03915,-0.009304890937662303,-0.014188758622695231,0,0
2024-03-15,-0.006778383,0.006536811,0.007590536,0.0076033864,62.646107,-0.010596919278535174,-0.016158935208873706,0,0
2024-03-18,0.006155345,0.0069842646,0.0071415845,0.007584549,74.21485,-0.011322292420861507,-0.017265035699121904,0,0
2024-03-19,0.0051642633,0.006872735,0.0073161144,0.007575325,55.455624,-0.011141490556776365,-0.01698933617451448,0,0
2024-03-20,0.008548278,0.0069324407,0.006693998,0.0075726733,43.656548,-0.011238279671681856,-0.017136927091796456,0,0
2024-03-21,0.0029747172,0.0068041245,0.0037889357,0.0076346723,37.237144,-0.011030264941954075,-0.016819731456743245,0,0
2024-03-22,-0.0017459835,0.005656925,0.0027834245,0.007630506,30.358168,-0.009170523035338196,-0.01398386490115811,0,0
2024-03-25,-0.0028378207,0.0046752114,0.0026440248,0.007587201,30.502773,-0.007579052737231729,-0.011557077949403189,0,0
2024-03-26,-0.0024659755,0.0042253574,0.004676194,0.0075519606,28.040674,-0.00684978836527275,-0.010445043835819375,0,0
2024-03-27,0.0081335865,0.0046815714,0.0040129274,0.007509701,28.707605,-0.007589362955471051,-0.011572799702503264,0,0
2024-03-28,4.7095393e-05,0.0047085155,0.0026621604,0.007511326,34.961807,-0.007633042968139509,-0.01163940608838582,0,0
2024-04-01,-0.0024991173,0.004128349,0.0064543877,0.007511725,25.904106,-0.0066925263093828395,-0.010205239482766812,0,0
2024-04-02,-0.006584113,0.0049714614,0.0071465042,0.0074530235,24.780739,-0.008059308374452184,-0.012289405857313272,0,0
2024-04-03,0.001139926,0.005739855,0.0048477636,0.007470863,22.175201,-0.009304962677065574,-0.014188868016032944,0,0
2024-04-04,-0.013236366,0.0053500826,0.012957366,0.00742516,21.403654,-0.008673096360946899,-0.013225353376121225,1,1
2024-04-05,0.010669703,0.0070442674,0.008929935,0.007541284,23.203327,-0.011419564299751354,-0.017413362769217667,0,0
2024-04-08,4.7590718e-05,0.0074908105,0.00424719,0.007540263,29.405523,-0.01214346129835629,-0.018517212330669858,0,0
2024-04-09,0.0013316214,0.005859414,0.0089003295,0.007550076,27.409248,-0.009498781444875754,-0.014484416640023347,0,0
2024-04-10,-0.010030653,0.0065932777,0.013044738,0.0074481154,29.367193,-0.010688457913114305,-0.016298519820815507,0,0
2024-04-11,0.0067936345,0.008312386,0.010276476,0.007474638,38.027824,-0.013475330327833221,-0.02054814082869256,0,0
2024-04-12,-0.014552522,0.008545796,0.009846202,0.0074620433,45.501827,-0.013853714324424773,-0.021125127623088782,1,0
2024-04-15,-0.012364467,0.008466094,0.014508941,0.0075569926,52.012283,-0.013724507439171184,-0.020928103786964806,0,0
2024-04-16,-0.002255677,0.0098076435,0.0060757026,0.0076349955,57.510468,-0.015899313613073857,-0.024244402716139025,0,0
